r_coor, energy,   site, dn,      x,      y,      z, index
 2.578, -2.327,    Li1, 1D,  2.393,  0.000,  0.958,    46
 2.639, -2.323,   none, 1D,  2.393,  2.894,  0.958,    46
 2.701, -2.314,   none, 1D,  2.393,  2.832,  0.958,    46
 2.763, -2.298,   none, 1D,  2.393,  2.771,  0.958,    46
 2.824, -2.274,   none, 1D,  2.393,  2.709,  0.958,    46
 2.886, -2.244,   none, 1D,  2.393,  2.647,  0.958,    46
 2.947, -2.205,   none, 1D,  2.393,  2.586,  0.958,    46
 3.009, -2.158,   none, 1D,  2.393,  2.524,  0.958,    46
 3.070, -2.102,   none, 1D,  2.393,  2.463,  0.958,    46
 3.163, -2.035,   none, 1D,  2.388,  2.401,  1.027,    46
 3.289, -1.955,   none, 1D,  2.475,  2.340,  1.095,    46
 3.381, -1.888,   none, 1D,  2.470,  2.278,  1.163,    46
 3.473, -1.810,   none, 1D,  2.465,  2.216,  1.232,    46
 3.599, -1.736,   none, 1D,  2.552,  2.155,  1.300,    46
 3.692, -1.691,   none, 1D,  2.547,  2.093,  1.369,    46
 3.784, -1.645,   none, 1D,  2.542,  2.032,  1.437,    46
 3.910, -1.609, saddle, 1D,  2.629,  1.970,  1.506,    46
 4.002, -1.610,   none, 1D,  2.624,  1.909,  1.574,    46
 4.094, -1.613,   none, 1D,  2.619,  1.847,  1.643,    46
 4.156, -1.624,   none, 1D,  2.619,  1.785,  1.643,    46
 4.248, -1.634,   none, 1D,  2.614,  1.724,  1.711,    46
 4.374, -1.664,   none, 1D,  2.701,  1.662,  1.779,    46
 4.436, -1.692,   none, 1D,  2.701,  1.601,  1.779,    46
 4.497, -1.708,   none, 1D,  2.701,  1.539,  1.779,    46
 4.559, -1.713,  Li_i2, 1D,  2.701,  1.478,  1.779,    45
 4.621, -1.708,   none, 1D,  2.701,  1.416,  1.779,    45
 4.682, -1.692,   none, 1D,  2.701,  1.355,  1.779,    45
 4.744, -1.664,   none, 1D,  2.701,  1.293,  1.779,    45
 4.870, -1.634,   none, 1D,  2.614,  1.231,  1.711,    45
 4.962, -1.624,   none, 1D,  2.619,  1.170,  1.643,    45
 5.024, -1.613,   none, 1D,  2.619,  1.108,  1.643,    45
 5.116, -1.610,   none, 1D,  2.624,  1.047,  1.574,    45
 5.208, -1.609, saddle, 1D,  2.629,  0.985,  1.506,    45
 5.334, -1.645,   none, 1D,  2.542,  0.924,  1.437,    45
 5.426, -1.691,   none, 1D,  2.547,  0.862,  1.369,    45
 5.519, -1.736,   none, 1D,  2.552,  0.800,  1.300,    45
 5.645, -1.810,   none, 1D,  2.465,  0.739,  1.232,    45
 5.737, -1.888,   none, 1D,  2.470,  0.677,  1.163,    45
 5.829, -1.955,   none, 1D,  2.475,  0.616,  1.095,    45
 5.955, -2.035,   none, 1D,  2.388,  0.554,  1.027,    45
 6.048, -2.102,   none, 1D,  2.393,  0.493,  0.958,    45
 6.109, -2.158,   none, 1D,  2.393,  0.431,  0.958,    45
 6.171, -2.205,   none, 1D,  2.393,  0.369,  0.958,    45
 6.232, -2.244,   none, 1D,  2.393,  0.308,  0.958,    45
 6.294, -2.274,   none, 1D,  2.393,  0.246,  0.958,    45
 6.355, -2.298,   none, 1D,  2.393,  0.185,  0.958,    45
 6.417, -2.314,   none, 1D,  2.393,  0.123,  0.958,    45
 6.479, -2.323,   none, 1D,  2.393,  0.062,  0.958,    45
 9.320, -1.780,  Li_i1, 2D,  2.041,  1.478,  3.422,    38
 9.382, -1.778,   none, 2D,  2.041,  1.416,  3.422,    38
 9.444, -1.772,   none, 2D,  2.041,  1.355,  3.422,    38
 9.536, -1.763,   none, 2D,  2.046,  1.293,  3.354,    38
 9.597, -1.750,   none, 2D,  2.046,  1.231,  3.354,    38
 9.659, -1.734,   none, 2D,  2.046,  1.170,  3.354,    38
 9.720, -1.713,   none, 2D,  2.046,  1.108,  3.354,    38
 9.847, -1.683,   none, 2D,  2.132,  1.047,  3.422,    38
 9.939, -1.647,   none, 2D,  2.127,  0.985,  3.490,    38
10.031, -1.597,   none, 2D,  2.122,  0.924,  3.559,    38
10.157, -1.551,   none, 2D,  2.209,  0.862,  3.627,    38
10.249, -1.506,   none, 2D,  2.204,  0.800,  3.696,    38
10.376, -1.459,   none, 2D,  2.290,  0.739,  3.764,    38
10.468, -1.434,   none, 2D,  2.286,  0.677,  3.833,    38
10.560, -1.403,   none, 2D,  2.281,  0.616,  3.901,    38
10.686, -1.399, saddle, 2D,  2.367,  0.554,  3.969,    38
10.778, -1.401,   none, 2D,  2.363,  0.493,  4.038,    38
10.871, -1.403,   none, 2D,  2.358,  0.431,  4.106,    38
10.997, -1.432,   none, 2D,  2.444,  0.369,  4.175,    38
11.089, -1.467,   none, 2D,  2.439,  0.308,  4.243,    38
11.181, -1.501,   none, 2D,  2.435,  0.246,  4.312,    38
11.273, -1.536,   none, 2D,  2.430,  0.185,  4.380,    38
11.366, -1.569,   none, 2D,  2.425,  0.123,  4.449,    38
11.458, -1.598,   none, 2D,  2.421,  0.062,  4.517,    38
11.550, -1.619,   none, 2D,  2.416,  0.000,  4.585,    38
11.619, -1.636,   none, 2D,  2.411,  0.000,  4.654,    38
11.687, -1.654,   none, 2D,  2.406,  0.000,  4.722,    38
11.756, -1.674,   none, 2D,  2.402,  0.000,  4.791,    38
11.824, -1.697,   none, 2D,  2.397,  0.000,  4.859,    38
11.942, -1.733,   none, 2D,  2.642,  0.000,  0.000,    38
12.011, -1.782,   none, 2D,  2.637,  0.000,  0.068,    38
12.079, -1.831,   none, 2D,  2.632,  0.000,  0.137,    38
12.148, -1.881,   none, 2D,  2.627,  0.000,  0.205,    38
12.266, -1.933,   none, 2D,  2.532,  0.000,  0.274,    38
12.334, -1.999,   none, 2D,  2.527,  0.000,  0.342,    38
12.403, -2.060,   none, 2D,  2.522,  0.000,  0.411,    38
12.471, -2.115,   none, 2D,  2.517,  0.000,  0.479,    38
12.540, -2.164,   none, 2D,  2.513,  0.000,  0.548,    38
12.658, -2.213,   none, 2D,  2.417,  0.000,  0.616,    38
12.726, -2.256,   none, 2D,  2.412,  0.000,  0.684,    38
12.795, -2.289,   none, 2D,  2.407,  0.000,  0.753,    38
12.864, -2.311,   none, 2D,  2.403,  0.000,  0.821,    38
12.932, -2.324,   none, 2D,  2.398,  0.000,  0.890,    38
14.683, -1.713,  Li_i2, 2D,  2.701,  1.478,  1.779,    41
14.752, -1.708,   none, 2D,  2.696,  1.478,  1.848,    41
14.821, -1.685,   none, 2D,  2.691,  1.478,  1.916,    41
14.889, -1.648,   none, 2D,  2.687,  1.478,  1.985,    41
14.958, -1.602,   none, 2D,  2.682,  1.478,  2.053,    41
15.076, -1.569,   none, 2D,  2.586,  1.478,  2.122,    41
15.144, -1.539,   none, 2D,  2.581,  1.478,  2.190,    41
15.213, -1.507,   none, 2D,  2.577,  1.478,  2.259,    41
15.281, -1.475,   none, 2D,  2.572,  1.478,  2.327,    41
15.399, -1.473, saddle, 2D,  2.476,  1.478,  2.395,    41
15.468, -1.475,   none, 2D,  2.471,  1.478,  2.464,    41
15.536, -1.475,   none, 2D,  2.467,  1.478,  2.532,    41
15.654, -1.495,   none, 2D,  2.371,  1.478,  2.601,    41
15.723, -1.522,   none, 2D,  2.366,  1.478,  2.669,    41
15.791, -1.545,   none, 2D,  2.361,  1.478,  2.738,    41
15.909, -1.581,   none, 2D,  2.266,  1.478,  2.806,    41
15.978, -1.617,   none, 2D,  2.261,  1.478,  2.874,    41
16.046, -1.646,   none, 2D,  2.256,  1.478,  2.943,    41
16.164, -1.683,   none, 2D,  2.160,  1.478,  3.011,    41
16.233, -1.713,   none, 2D,  2.156,  1.478,  3.080,    41
16.301, -1.734,   none, 2D,  2.151,  1.478,  3.148,    41
16.419, -1.754,   none, 2D,  2.055,  1.478,  3.217,    41
16.488, -1.770,   none, 2D,  2.050,  1.478,  3.285,    41
16.556, -1.778,   none, 2D,  2.046,  1.478,  3.354,    41
26.344, -2.327,    Li1, 3D, 12.231,  1.478,  0.958,   138
26.412, -2.324,   none, 3D, 12.236,  1.478,  0.890,   138
26.481, -2.311,   none, 3D, 12.240,  1.478,  0.821,   138
26.550, -2.289,   none, 3D, 12.245,  1.478,  0.753,   138
26.618, -2.256,   none, 3D, 12.250,  1.478,  0.684,   138
26.687, -2.213,   none, 3D, 12.255,  1.478,  0.616,   138
26.805, -2.164,   none, 3D, 12.350,  1.478,  0.548,   138
26.873, -2.115,   none, 3D, 12.355,  1.478,  0.479,   138
26.942, -2.060,   none, 3D, 12.360,  1.478,  0.411,   138
27.010, -1.999,   none, 3D, 12.365,  1.478,  0.342,   138
27.079, -1.933,   none, 3D, 12.369,  1.478,  0.274,   138
27.197, -1.881,   none, 3D, 12.465,  1.478,  0.205,   138
27.265, -1.831,   none, 3D, 12.470,  1.478,  0.137,   138
27.334, -1.782,   none, 3D, 12.475,  1.478,  0.068,   138
27.403, -1.733,   none, 3D, 12.479,  1.478,  0.000,   138
27.520, -1.697,   none, 3D, 12.235,  1.478,  4.859,   138
27.589, -1.674,   none, 3D, 12.239,  1.478,  4.791,   138
27.658, -1.654,   none, 3D, 12.244,  1.478,  4.722,   138
27.726, -1.636,   none, 3D, 12.249,  1.478,  4.654,   138
27.795, -1.619,   none, 3D, 12.254,  1.478,  4.585,   138
27.912, -1.597,   none, 3D, 12.349,  1.478,  4.517,   138
28.030, -1.501,   none, 3D, 12.445,  1.478,  4.449,   138
28.121, -1.340,   none, 3D, 12.536,  1.478,  4.449,   138
28.212, -1.122,   none, 3D, 12.627,  1.478,  4.449,   138
28.330, -0.859,   none, 3D, 12.723,  1.478,  4.380,   138
28.421, -0.558,   none, 3D, 12.814,  1.478,  4.380,   138
28.512, -0.227,   none, 3D, 12.905,  1.478,  4.380,   138
28.603,  0.125,   none, 3D, 12.996,  1.478,  4.380,   138
28.695,  0.489,   none, 3D, 13.088,  1.478,  4.380,   138
28.786,  0.858,   none, 3D, 13.179,  1.478,  4.380,   138
28.896,  1.222,   none, 3D, 13.265,  1.478,  4.449,   138
28.987,  1.573,   none, 3D, 13.356,  1.478,  4.449,   138
29.105,  1.930,   none, 3D, 13.452,  1.478,  4.380,   138
29.222,  2.375,   none, 3D, 13.548,  1.478,  4.312,   138
29.340,  2.924,   none, 3D, 13.644,  1.478,  4.243,   138
29.458,  3.580,   none, 3D, 13.739,  1.478,  4.175,   138
29.576,  4.327,   none, 3D, 13.835,  1.478,  4.106,   138
29.693,  5.134,   none, 3D, 13.931,  1.478,  4.038,   138
29.811,  5.951,   none, 3D, 14.027,  1.478,  3.969,   138
29.929,  6.717,   none, 3D, 14.123,  1.478,  3.901,   138
30.047,  7.364,   none, 3D, 14.218,  1.478,  3.833,   138
30.164,  7.828,   none, 3D, 14.314,  1.478,  3.764,   138
30.282,  8.059, saddle, 3D, 14.410,  1.478,  3.696,   138
30.400,  8.031,   none, 3D, 14.506,  1.478,  3.627,   138
30.518,  7.744,   none, 3D, 14.602,  1.478,  3.559,   138
30.635,  7.227,   none, 3D, 14.698,  1.478,  3.490,   138
30.753,  6.534,   none, 3D, 14.793,  1.478,  3.422,   138
30.871,  5.737,   none, 3D, 14.889,  1.478,  3.354,   138
30.989,  4.916,   none, 3D, 14.985,  1.478,  3.285,   138
31.106,  4.144,   none, 3D, 15.081,  1.478,  3.217,   138
31.224,  3.481,   none, 3D, 15.177,  1.478,  3.148,   138
31.342,  2.963,   none, 3D, 15.272,  1.478,  3.080,   138
31.460,  2.601,   none, 3D, 15.368,  1.478,  3.011,   138
31.551,  2.320,   none, 3D, 15.459,  1.478,  3.011,   138
31.642,  2.024,   none, 3D, 15.550,  1.478,  3.011,   138
31.733,  1.703,   none, 3D, 15.642,  1.478,  3.011,   138
31.824,  1.354,   none, 3D, 15.733,  1.478,  3.011,   138
31.915,  0.979,   none, 3D, 15.824,  1.478,  3.011,   138
32.006,  0.586,   none, 3D, 15.915,  1.478,  3.011,   138
32.097,  0.187,   none, 3D, 16.006,  1.478,  3.011,   138
32.207, -0.217,   none, 3D, 16.092,  1.478,  3.080,   138
32.299, -0.599,   none, 3D, 16.183,  1.478,  3.080,   138
32.390, -0.945,   none, 3D, 16.274,  1.478,  3.080,   138
32.481, -1.243,   none, 3D, 16.366,  1.478,  3.080,   138
32.572, -1.479,   none, 3D, 16.457,  1.478,  3.080,   138
32.682, -1.641,   none, 3D, 16.543,  1.478,  3.148,   138
34.488, -1.780,  Li_i1, 3D, 17.294,  1.478,  1.506,    10
34.579, -1.758,   none, 3D, 17.385,  1.478,  1.506,    10
34.670, -1.696,   none, 3D, 17.476,  1.478,  1.506,    10
34.761, -1.593,   none, 3D, 17.567,  1.478,  1.506,    10
34.853, -1.450,   none, 3D, 17.658,  1.478,  1.506,    10
34.944, -1.268,   none, 3D, 17.750,  1.478,  1.506,    10
35.035, -1.046,   none, 3D, 17.841,  1.478,  1.506,    10
35.126, -0.788,   none, 3D, 17.932,  1.478,  1.506,    10
35.236, -0.499,   none, 3D, 18.018,  1.478,  1.574,    10
35.327, -0.187,   none, 3D, 18.109,  1.478,  1.574,    10
35.418,  0.146,   none, 3D, 18.200,  1.478,  1.574,    10
35.509,  0.493,   none, 3D, 18.291,  1.478,  1.574,    10
35.600,  0.849,   none, 3D, 18.382,  1.478,  1.574,    10
35.711,  1.235,   none, 3D, 18.469,  1.478,  1.643,    10
35.821,  1.701,   none, 3D, 18.555,  1.478,  1.711,    10
35.931,  2.261,   none, 3D, 18.642,  1.478,  1.779,    10
36.041,  2.919,   none, 3D, 18.728,  1.478,  1.848,    10
36.151,  3.669,   none, 3D, 18.814,  1.478,  1.916,    10
36.261,  4.488,   none, 3D, 18.901,  1.478,  1.985,    10
36.372,  5.341,   none, 3D, 18.987,  1.478,  2.053,    10
36.482,  6.182,   none, 3D, 19.073,  1.478,  2.122,    10
36.592,  6.960,   none, 3D, 19.160,  1.478,  2.190,    10
36.702,  7.624,   none, 3D, 19.246,  1.478,  2.259,    10
36.812,  8.132,   none, 3D, 19.332,  1.478,  2.327,    10
36.923,  8.449,   none, 3D, 19.419,  1.478,  2.395,    10
37.033,  8.557, saddle, 3D, -0.170,  1.478,  2.464,    10
37.143,  8.449,   none, 3D, -0.084,  1.478,  2.532,    10
37.253,  8.132,   none, 3D,  0.002,  1.478,  2.601,    10
37.363,  7.624,   none, 3D,  0.089,  1.478,  2.669,    10
37.474,  6.960,   none, 3D,  0.175,  1.478,  2.738,    10
37.584,  6.182,   none, 3D,  0.262,  1.478,  2.806,    10
37.694,  5.341,   none, 3D,  0.348,  1.478,  2.874,    10
37.804,  4.488,   none, 3D,  0.434,  1.478,  2.943,    10
37.914,  3.669,   none, 3D,  0.521,  1.478,  3.011,    10
38.025,  2.919,   none, 3D,  0.607,  1.478,  3.080,    10
38.135,  2.261,   none, 3D,  0.693,  1.478,  3.148,    10
38.245,  1.701,   none, 3D,  0.780,  1.478,  3.217,    10
38.355,  1.235,   none, 3D,  0.866,  1.478,  3.285,    10
38.465,  0.849,   none, 3D,  0.952,  1.478,  3.354,    10
38.556,  0.493,   none, 3D,  1.044,  1.478,  3.354,    10
38.647,  0.146,   none, 3D,  1.135,  1.478,  3.354,    10
38.739, -0.187,   none, 3D,  1.226,  1.478,  3.354,    10
38.830, -0.499,   none, 3D,  1.317,  1.478,  3.354,    10
38.940, -0.788,   none, 3D,  1.403,  1.478,  3.422,    10
39.031, -1.046,   none, 3D,  1.494,  1.478,  3.422,    10
39.122, -1.268,   none, 3D,  1.585,  1.478,  3.422,    10
39.213, -1.450,   none, 3D,  1.676,  1.478,  3.422,    10
39.304, -1.593,   none, 3D,  1.768,  1.478,  3.422,    10
39.395, -1.696,   none, 3D,  1.859,  1.478,  3.422,    10
39.486, -1.758,   none, 3D,  1.950,  1.478,  3.422,    10
42.361, -2.327,    Li1, 3D,  2.393,  0.000,  0.958,    48
42.430, -2.324,   none, 3D,  2.398,  0.000,  0.890,    48
42.498, -2.311,   none, 3D,  2.403,  0.000,  0.821,    48
42.567, -2.289,   none, 3D,  2.407,  0.000,  0.753,    48
42.636, -2.256,   none, 3D,  2.412,  0.000,  0.684,    48
42.704, -2.213,   none, 3D,  2.417,  0.000,  0.616,    48
42.822, -2.164,   none, 3D,  2.513,  0.000,  0.548,    48
42.891, -2.115,   none, 3D,  2.517,  0.000,  0.479,    48
42.959, -2.060,   none, 3D,  2.522,  0.000,  0.411,    48
43.028, -1.999,   none, 3D,  2.527,  0.000,  0.342,    48
43.096, -1.933,   none, 3D,  2.532,  0.000,  0.274,    48
43.214, -1.881,   none, 3D,  2.627,  0.000,  0.205,    48
43.283, -1.831,   none, 3D,  2.632,  0.000,  0.137,    48
43.351, -1.782,   none, 3D,  2.637,  0.000,  0.068,    48
43.420, -1.733,   none, 3D,  2.642,  0.000,  0.000,    48
43.538, -1.697,   none, 3D,  2.397,  0.000,  4.859,    48
43.606, -1.674,   none, 3D,  2.402,  0.000,  4.791,    48
43.675, -1.654,   none, 3D,  2.406,  0.000,  4.722,    48
43.743, -1.636,   none, 3D,  2.411,  0.000,  4.654,    48
43.812, -1.619,   none, 3D,  2.416,  0.000,  4.585,    48
43.930, -1.597,   none, 3D,  2.512,  0.000,  4.517,    48
44.048, -1.501,   none, 3D,  2.607,  0.000,  4.449,    48
44.139, -1.340,   none, 3D,  2.699,  0.000,  4.449,    48
44.230, -1.122,   none, 3D,  2.790,  0.000,  4.449,    48
44.348, -0.859,   none, 3D,  2.885,  0.000,  4.380,    48
44.439, -0.558,   none, 3D,  2.977,  0.000,  4.380,    48
44.530, -0.227,   none, 3D,  3.068,  0.000,  4.380,    48
44.621,  0.125,   none, 3D,  3.159,  0.000,  4.380,    48
44.712,  0.489,   none, 3D,  3.250,  0.000,  4.380,    48
44.803,  0.858,   none, 3D,  3.341,  0.000,  4.380,    48
44.913,  1.222,   none, 3D,  3.427,  0.000,  4.449,    48
45.004,  1.573,   none, 3D,  3.518,  0.000,  4.449,    48
45.122,  1.930,   none, 3D,  3.614,  0.000,  4.380,    48
45.240,  2.375,   none, 3D,  3.710,  0.000,  4.312,    48
45.358,  2.924,   none, 3D,  3.806,  0.000,  4.243,    48
45.475,  3.580,   none, 3D,  3.902,  0.000,  4.175,    48
45.593,  4.327,   none, 3D,  3.997,  0.000,  4.106,    48
45.711,  5.134,   none, 3D,  4.093,  0.000,  4.038,    48
45.829,  5.951,   none, 3D,  4.189,  0.000,  3.969,    48
45.946,  6.717,   none, 3D,  4.285,  0.000,  3.901,    48
46.064,  7.364,   none, 3D,  4.381,  0.000,  3.833,    48
46.182,  7.828,   none, 3D,  4.477,  0.000,  3.764,    48
