r_coor, energy,   site, dn,      x,      y,      z, index
 3.528, -2.423,    Li2, 1D,  3.670,  2.137,  2.538,   112
 3.595, -2.418,   none, 1D,  3.737,  2.137,  2.538,   112
 3.663, -2.408,   none, 1D,  3.771,  2.078,  2.538,   112
 3.731, -2.391,   none, 1D,  3.839,  2.078,  2.538,   112
 3.799, -2.368,   none, 1D,  3.873,  2.019,  2.538,   112
 3.867, -2.337,   none, 1D,  3.907,  1.960,  2.538,   112
 4.001, -2.302,   none, 1D,  3.995,  2.019,  2.457,   112
 4.069, -2.260,   none, 1D,  4.063,  2.019,  2.457,   112
 4.137, -2.213,   none, 1D,  4.097,  1.960,  2.457,   112
 4.254, -2.152,   none, 1D,  4.198,  2.019,  2.457,   112
 4.388, -2.092,   none, 1D,  4.286,  2.078,  2.375,   112
 4.456, -2.039,   none, 1D,  4.354,  2.078,  2.375,   112
 4.524, -1.983,   none, 1D,  4.422,  2.078,  2.375,   112
 4.657, -1.935,   none, 1D,  4.510,  2.136,  2.293,   112
 4.725, -1.902,   none, 1D,  4.577,  2.136,  2.293,   112
 4.793, -1.872,   none, 1D,  4.645,  2.136,  2.293,   112
 4.927, -1.849, saddle, 1D,  4.733,  2.195,  2.211,   112
 4.994, -1.852,   none, 1D,  4.801,  2.195,  2.211,   112
 5.062, -1.858,   none, 1D,  4.869,  2.195,  2.211,   112
 5.180, -1.869,   none, 1D,  4.970,  2.254,  2.211,   112
 5.247, -1.881,   none, 1D,  5.038,  2.254,  2.211,   112
 5.345, -1.910,   none, 1D,  5.092,  2.254,  2.129,   112
 5.413, -1.936,   none, 1D,  5.160,  2.254,  2.129,   112
 5.481, -1.956,   none, 1D,  5.227,  2.254,  2.129,   112
 5.549, -1.966,   none, 1D,  5.295,  2.254,  2.129,   112
 5.617, -1.969,  Li_i2, 1D,  5.329,  2.195,  2.129,   132
 5.685, -1.966,   none, 1D,  5.295,  2.254,  2.129,   132
 5.753, -1.956,   none, 1D,  5.329,  2.313,  2.129,   132
 5.821, -1.937,   none, 1D,  5.363,  2.372,  2.129,   132
 5.889, -1.913,   none, 1D,  5.397,  2.431,  2.129,   132
 6.001, -1.896,   none, 1D,  5.444,  2.490,  2.211,   132
 6.069, -1.888,   none, 1D,  5.478,  2.549,  2.211,   132
 6.137, -1.881,   none, 1D,  5.512,  2.608,  2.211,   132
 6.205, -1.876, saddle, 1D,  5.545,  2.667,  2.211,   132
 6.358, -1.897,   none, 1D,  5.660,  2.727,  2.293,   132
 6.426, -1.919,   none, 1D,  5.694,  2.786,  2.293,   132
 6.579, -1.949,   none, 1D,  5.809,  2.845,  2.375,   132
 6.697, -1.992,   none, 1D,  5.911,  2.904,  2.375,   132
 6.850, -2.044,   none, 1D,  6.026,  2.964,  2.457,   132
 6.968, -2.087,   none, 1D,  6.128,  3.023,  2.457,   132
 7.121, -2.128,   none, 1D,  6.243,  3.082,  2.538,   132
 7.189, -2.159,   none, 1D,  6.209,  3.141,  2.538,   132
 7.257, -2.186,   none, 1D,  6.175,  3.200,  2.538,   132
 7.325, -2.208,   none, 1D,  6.141,  3.259,  2.538,   132
 7.393, -2.226,   none, 1D,  6.107,  3.318,  2.538,   132
 7.461, -2.240,   none, 1D,  6.141,  3.377,  2.538,   132
 7.529, -2.251,   none, 1D,  6.107,  3.436,  2.538,   132
 7.597, -2.257,   none, 1D,  6.073,  3.495,  2.538,   132
