r_coor, energy,   site, dn,      x,      y,      z, index
 2.553, -2.492,    Li2, 1D, -0.856,  0.000,  2.405,    20
 2.623, -2.485,   none, 1D, -0.787,  0.000,  2.405,    20
 2.704, -2.479,   none, 1D, -0.741,  0.000,  2.472,    20
 2.773, -2.460,   none, 1D, -0.671,  0.000,  2.472,    20
 2.854, -2.441,   none, 1D, -0.625,  0.000,  2.539,    20
 2.924, -2.413,   none, 1D, -0.555,  0.000,  2.539,    20
 3.005, -2.380,   none, 1D, -0.510,  0.000,  2.605,    20
 3.075, -2.346,   none, 1D, -0.440,  0.000,  2.605,    20
 3.144, -2.304,   none, 1D, -0.370,  0.000,  2.605,    20
 3.225, -2.268,   none, 1D, -0.324,  0.000,  2.672,    20
 3.295, -2.230,   none, 1D, -0.255,  0.000,  2.672,    20
 3.365, -2.189,   none, 1D, -0.185,  0.000,  2.672,    20
 3.446, -2.159,   none, 1D, -0.139,  0.000,  2.739,    20
 3.515, -2.134,   none, 1D, -0.069,  0.000,  2.739,    20
 3.585, -2.111,   none, 1D,  0.000,  0.000,  2.739,    20
 3.666, -2.099, saddle, 1D,  0.046,  0.000,  2.806,    20
 3.736, -2.101,   none, 1D,  0.116,  0.000,  2.806,    20
 3.806, -2.107,   none, 1D,  0.185,  0.000,  2.806,    20
 3.887, -2.118,   none, 1D,  0.231,  0.000,  2.873,    20
 3.956, -2.150,   none, 1D,  0.301,  0.000,  2.873,    20
 4.026, -2.186,   none, 1D,  0.371,  0.000,  2.873,    20
 4.096, -2.222,   none, 1D,  0.440,  0.000,  2.873,    20
 4.177, -2.266,   none, 1D,  0.486,  0.000,  2.939,    20
 4.246, -2.315,   none, 1D,  0.556,  0.000,  2.939,    20
 4.316, -2.357,   none, 1D,  0.626,  0.000,  2.939,    20
 4.386, -2.390,   none, 1D,  0.695,  0.000,  2.939,    20
 4.467, -2.417,   none, 1D,  0.741,  0.000,  3.006,    20
 4.536, -2.426,  Li_i1, 1D,  0.811,  0.000,  3.006,    40
 4.627, -2.407,   none, 1D,  0.811,  0.090,  3.006,    40
 4.741, -2.355,   none, 1D,  0.835,  0.180,  2.939,    40
 4.855, -2.295,   none, 1D,  0.904,  0.271,  2.939,    40
 5.001, -2.235,   none, 1D,  0.998,  0.361,  2.873,    40
 5.116, -2.190,   none, 1D,  1.021,  0.451,  2.806,    40
 5.230, -2.175, saddle, 1D,  1.091,  0.541,  2.806,    40
 5.376, -2.191,   none, 1D,  1.185,  0.632,  2.739,    40
 5.522, -2.232,   none, 1D,  1.278,  0.722,  2.672,    40
 5.668, -2.291,   none, 1D,  1.372,  0.812,  2.605,    40
 5.815, -2.363,   none, 1D,  1.465,  0.902,  2.539,    40
 5.961, -2.433,   none, 1D,  1.558,  0.993,  2.472,    40
 6.107, -2.488,   none, 1D,  1.652,  1.083,  2.405,    40
 6.197, -2.518,   none, 1D,  1.652,  1.173,  2.405,    40
 6.287, -2.525,    Li1, 1D,  1.652,  1.263,  2.405,    50
 6.378, -2.518,   none, 1D,  1.652,  1.173,  2.405,    50
 6.468, -2.488,   none, 1D,  1.652,  1.083,  2.405,    50
 6.614, -2.433,   none, 1D,  1.745,  0.993,  2.338,    50
 6.760, -2.363,   none, 1D,  1.839,  0.902,  2.271,    50
 6.906, -2.291,   none, 1D,  1.932,  0.812,  2.205,    50
 7.052, -2.232,   none, 1D,  2.026,  0.722,  2.138,    50
 7.198, -2.191,   none, 1D,  2.119,  0.632,  2.071,    50
 7.344, -2.175, saddle, 1D,  2.213,  0.541,  2.004,    50
 7.458, -2.190,   none, 1D,  2.282,  0.451,  2.004,    50
 7.573, -2.235,   none, 1D,  2.306,  0.361,  1.937,    50
 7.719, -2.295,   none, 1D,  2.399,  0.271,  1.871,    50
 7.833, -2.355,   none, 1D,  2.469,  0.180,  1.871,    50
 7.948, -2.407,   none, 1D,  2.493,  0.090,  1.804,    50
 8.038, -2.426,  Li_i1, 1D,  2.493,  0.000,  1.804,    72
 8.108, -2.417,   none, 1D,  2.563,  0.000,  1.804,    72
 8.189, -2.390,   none, 1D,  2.608,  0.000,  1.871,    72
 8.259, -2.357,   none, 1D,  2.678,  0.000,  1.871,    72
 8.328, -2.315,   none, 1D,  2.748,  0.000,  1.871,    72
 8.398, -2.266,   none, 1D,  2.817,  0.000,  1.871,    72
 8.479, -2.222,   none, 1D,  2.863,  0.000,  1.937,    72
 8.549, -2.186,   none, 1D,  2.933,  0.000,  1.937,    72
 8.618, -2.150,   none, 1D,  3.003,  0.000,  1.937,    72
 8.688, -2.118,   none, 1D,  3.072,  0.000,  1.937,    72
