r_coor, energy,   site, dn,      x,      y,      z, index
 4.120, -2.138,  Li_i5, 1D,  3.118,  0.708,  2.597,    74
 4.203, -2.129,   none, 1D,  3.202,  0.708,  2.597,    74
 4.286, -2.091,   none, 1D,  3.285,  0.708,  2.597,    74
 4.436, -2.026,   none, 1D,  3.405,  0.708,  2.508,    74
 4.585, -1.946,   none, 1D,  3.524,  0.708,  2.418,    74
 4.735, -1.874,   none, 1D,  3.644,  0.708,  2.329,    74
 4.884, -1.827,   none, 1D,  3.763,  0.708,  2.239,    74
 5.034, -1.816, saddle, 1D,  3.883,  0.708,  2.150,    74
 5.183, -1.842,   none, 1D,  4.003,  0.708,  2.060,    74
 5.332, -1.899,   none, 1D,  4.122,  0.708,  1.971,    74
 5.482, -1.973,   none, 1D,  4.242,  0.708,  1.881,    74
 5.631, -2.044,   none, 1D,  4.361,  0.708,  1.791,    74
 5.715, -2.089,   none, 1D,  4.445,  0.708,  1.791,    74
 5.798, -2.108,    Li1, 1D,  4.528,  0.708,  1.791,    81
 5.895, -2.102,   none, 1D,  4.564,  0.708,  1.702,    81
 6.014, -2.068,   none, 1D,  4.601,  0.779,  1.612,    81
 6.138, -2.020,   none, 1D,  4.553,  0.849,  1.523,    81
 6.258, -1.964,   none, 1D,  4.590,  0.920,  1.433,    81
 6.381, -1.916,   none, 1D,  4.543,  0.991,  1.344,    81
 6.501, -1.873,   none, 1D,  4.579,  1.062,  1.254,    81
 6.624, -1.854,   none, 1D,  4.532,  1.133,  1.164,    81
 6.748, -1.844, saddle, 1D,  4.484,  1.203,  1.075,    81
 6.871, -1.845,   none, 1D,  4.437,  1.274,  0.985,    81
 6.991, -1.863,   none, 1D,  4.474,  1.345,  0.896,    81
 7.115, -1.885,   none, 1D,  4.426,  1.416,  0.806,    81
 7.216, -1.908,   none, 1D,  4.379,  1.416,  0.717,    81
 7.340, -1.927,   none, 1D,  4.332,  1.486,  0.627,    81
 7.463, -1.932,   none, 1D,  4.285,  1.557,  0.537,    81
 7.546, -1.932,  Li_i3, 1D,  4.202,  1.557,  0.537,    61
 7.670, -1.931,   none, 1D,  4.154,  1.628,  0.448,    61
 7.790, -1.910,   none, 1D,  4.191,  1.557,  0.358,    61
 7.913, -1.873,   none, 1D,  4.143,  1.486,  0.269,    61
 8.033, -1.833,   none, 1D,  4.180,  1.416,  0.179,    61
 8.153, -1.798,   none, 1D,  4.216,  1.345,  0.090,    61
 8.273, -1.775,   none, 1D,  4.252,  1.274,  0.000,    61
 8.396, -1.771, saddle, 1D,  1.597,  1.203,  6.359,    61
 8.516, -1.791,   none, 1D,  1.633,  1.133,  6.270,    61
 8.636, -1.826,   none, 1D,  1.669,  1.062,  6.180,    61
 8.759, -1.872,   none, 1D,  1.622,  0.991,  6.091,    61
 8.879, -1.935,   none, 1D,  1.658,  0.920,  6.001,    61
 8.999, -1.993,   none, 1D,  1.695,  0.849,  5.912,    61
 9.118, -2.036,   none, 1D,  1.731,  0.779,  5.822,    61
 9.242, -2.049,    Li3, 1D,  1.684,  0.708,  5.732,    57
 9.351, -2.048,   none, 1D,  1.767,  0.637,  5.732,    57
 9.422, -2.037,   none, 1D,  1.767,  0.566,  5.732,    57
 9.493, -2.019,   none, 1D,  1.767,  0.495,  5.732,    57
 9.564, -1.997,   none, 1D,  1.767,  0.425,  5.732,    57
 9.634, -1.974,   none, 1D,  1.767,  0.354,  5.732,    57
 9.705, -1.952,   none, 1D,  1.767,  0.283,  5.732,    57
 9.776, -1.934,   none, 1D,  1.767,  0.212,  5.732,    57
 9.847, -1.921,   none, 1D,  1.767,  0.142,  5.732,    57
 9.918, -1.914, saddle, 1D,  1.767,  0.071,  5.732,    57
 9.988, -1.915,   none, 1D,  1.767,  0.000,  5.732,    57
10.059, -1.923,   none, 1D,  1.767,  5.026,  5.732,    57
10.130, -1.938,   none, 1D,  1.767,  4.955,  5.732,    57
10.201, -1.959,   none, 1D,  1.767,  4.884,  5.732,    57
10.310, -1.985,   none, 1D,  1.851,  4.813,  5.732,    57
10.381, -2.017,   none, 1D,  1.851,  4.742,  5.732,    57
10.452, -2.050,   none, 1D,  1.851,  4.672,  5.732,    57
10.522, -2.081,   none, 1D,  1.851,  4.601,  5.732,    57
10.642, -2.109,   none, 1D,  1.814,  4.530,  5.822,    57
10.713, -2.129,   none, 1D,  1.814,  4.459,  5.822,    57
10.784, -2.138,  Li_i5, 1D,  1.814,  4.389,  5.822,    76
10.867, -2.129,   none, 1D,  1.898,  4.389,  5.822,    76
10.950, -2.091,   none, 1D,  1.981,  4.389,  5.822,    76
11.100, -2.026,   none, 1D,  2.101,  4.389,  5.732,    76
11.249, -1.946,   none, 1D,  2.220,  4.389,  5.643,    76
11.399, -1.874,   none, 1D,  2.340,  4.389,  5.553,    76
11.548, -1.827,   none, 1D,  2.459,  4.389,  5.464,    76
11.698, -1.816, saddle, 1D,  2.579,  4.389,  5.374,    76
11.847, -1.842,   none, 1D,  2.699,  4.389,  5.285,    76
11.996, -1.899,   none, 1D,  2.818,  4.389,  5.195,    76
12.146, -1.973,   none, 1D,  2.938,  4.389,  5.105,    76
12.295, -2.044,   none, 1D,  3.057,  4.389,  5.016,    76
12.379, -2.089,   none, 1D,  3.141,  4.389,  5.016,    76
12.462, -2.108,    Li1, 1D,  3.224,  4.389,  5.016,    83
12.559, -2.102,   none, 1D,  3.260,  4.389,  4.926,    83
12.678, -2.068,   none, 1D,  3.297,  4.318,  4.837,    83
12.802, -2.020,   none, 1D,  3.249,  4.247,  4.747,    83
12.922, -1.964,   none, 1D,  3.286,  4.176,  4.658,    83
13.045, -1.916,   none, 1D,  3.239,  4.105,  4.568,    83
13.165, -1.873,   none, 1D,  3.275,  4.035,  4.478,    83
13.288, -1.854,   none, 1D,  3.228,  3.964,  4.389,    83
13.412, -1.844, saddle, 1D,  3.180,  3.893,  4.299,    83
13.536, -1.845,   none, 1D,  3.133,  3.822,  4.210,    83
13.655, -1.863,   none, 1D,  3.170,  3.752,  4.120,    83
13.779, -1.885,   none, 1D,  3.122,  3.681,  4.031,    83
13.880, -1.908,   none, 1D,  3.075,  3.681,  3.941,    83
14.004, -1.927,   none, 1D,  3.028,  3.610,  3.851,    83
14.127, -1.932,   none, 1D,  2.981,  3.539,  3.762,    83
14.210, -1.932,  Li_i3, 1D,  2.898,  3.539,  3.762,    67
14.334, -1.931,   none, 1D,  2.850,  3.468,  3.672,    67
14.454, -1.910,   none, 1D,  2.887,  3.539,  3.583,    67
14.577, -1.873,   none, 1D,  2.839,  3.610,  3.493,    67
14.697, -1.833,   none, 1D,  2.876,  3.681,  3.404,    67
14.817, -1.798,   none, 1D,  2.912,  3.752,  3.314,    67
