r_coor, energy,   site, dn,      x,      y,      z, index
 0.000, -2.733,    Li2, 1D,  0.000,  0.000,  0.000,    34
 0.062, -2.730,   none, 1D,  0.062,  0.000,  0.000,    34
 0.124, -2.721,   none, 1D,  0.124,  0.000,  0.000,    34
 0.187, -2.705,   none, 1D,  0.187,  0.000,  0.000,    34
 0.249, -2.683,   none, 1D,  0.249,  0.000,  0.000,    34
 0.311, -2.653,   none, 1D,  0.311,  0.000,  0.000,    34
 0.404, -2.616,   none, 1D,  0.470,  4.955,  0.000,    34
 0.518, -2.567,   none, 1D,  0.534,  4.904,  0.079,    34
 0.610, -2.512,   none, 1D,  0.595,  4.834,  0.079,    34
 0.724, -2.457,   none, 1D,  0.658,  4.782,  0.158,    34
 0.816, -2.393,   none, 1D,  0.719,  4.713,  0.158,    34
 0.930, -2.344,   none, 1D,  0.783,  4.661,  0.237,    34
 0.992, -2.296,   none, 1D,  0.845,  4.661,  0.237,    34
 1.106, -2.256,   none, 1D,  0.908,  4.609,  0.316,    34
 1.199, -2.227,   none, 1D,  0.969,  4.540,  0.316,    34
 1.312, -2.214,   none, 1D,  1.033,  4.488,  0.395,    34
 1.375, -2.212, saddle, 1D,  1.095,  4.488,  0.395,    34
 1.488, -2.224,   none, 1D,  1.158,  4.437,  0.474,    34
 1.581, -2.257,   none, 1D,  1.219,  4.367,  0.474,    34
 1.695, -2.290,   none, 1D,  1.283,  4.315,  0.553,    34
 1.757, -2.338,   none, 1D,  1.345,  4.315,  0.553,    34
 1.849, -2.383,   none, 1D,  1.406,  4.245,  0.553,    34
 1.912, -2.418,   none, 1D,  1.468,  4.245,  0.553,    34
 2.025, -2.451,   none, 1D,  1.532,  4.194,  0.632,    34
 2.088, -2.462,  Li_i3, 1D,  1.594,  4.194,  0.632,    58
 2.150, -2.452,   none, 1D,  1.656,  4.194,  0.632,    58
 2.244, -2.421,   none, 1D,  1.720,  4.264,  0.632,    58
 2.345, -2.386,   none, 1D,  1.779,  4.245,  0.553,    58
 2.439, -2.344,   none, 1D,  1.843,  4.315,  0.553,    58
 2.502, -2.297,   none, 1D,  1.905,  4.315,  0.553,    58
 2.614, -2.259,   none, 1D,  1.966,  4.367,  0.474,    58
 2.708, -2.234,   none, 1D,  2.030,  4.437,  0.474,    58
 2.821, -2.213, saddle, 1D,  2.091,  4.488,  0.395,    58
 2.883, -2.216,   none, 1D,  2.153,  4.488,  0.395,    58
 2.977, -2.231,   none, 1D,  2.217,  4.558,  0.395,    58
 3.090, -2.260,   none, 1D,  2.278,  4.609,  0.316,    58
 3.184, -2.298,   none, 1D,  2.341,  4.679,  0.316,    58
 3.296, -2.348,   none, 1D,  2.402,  4.731,  0.237,    58
 3.359, -2.399,   none, 1D,  2.465,  4.731,  0.237,    58
 3.453, -2.452,   none, 1D,  2.528,  4.801,  0.237,    58
 3.565, -2.514,   none, 1D,  2.589,  4.852,  0.158,    58
 3.678, -2.564,   none, 1D,  2.650,  4.904,  0.079,    58
 3.772, -2.615,   none, 1D,  2.714,  4.973,  0.079,    58
 3.884, -2.653,   none, 1D,  2.676,  0.000,  0.000,    58
 3.947, -2.683,   none, 1D,  2.739,  0.000,  0.000,    58
 4.009, -2.705,   none, 1D,  2.801,  0.000,  0.000,    58
 4.071, -2.721,   none, 1D,  2.863,  0.000,  0.000,    58
 4.133, -2.730,   none, 1D,  2.925,  0.000,  0.000,    58
 7.001, -2.671,    Li4, 2D,  1.543,  2.512,  0.000,    46
 7.071, -2.662,   none, 2D,  1.544,  2.582,  0.000,    46
 7.189, -2.637,   none, 2D,  1.548,  2.670,  0.079,    46
 7.259, -2.602,   none, 2D,  1.550,  2.740,  0.079,    46
 7.329, -2.550,   none, 2D,  1.551,  2.810,  0.079,    46
 7.447, -2.484,   none, 2D,  1.555,  2.898,  0.158,    46
 7.517, -2.418,   none, 2D,  1.556,  2.968,  0.158,    46
 7.587, -2.340,   none, 2D,  1.558,  3.038,  0.158,    46
 7.705, -2.268,   none, 2D,  1.562,  3.126,  0.237,    46
 7.775, -2.198,   none, 2D,  1.563,  3.195,  0.237,    46
 7.893, -2.137,   none, 2D,  1.567,  3.283,  0.316,    46
 7.963, -2.093,   none, 2D,  1.568,  3.353,  0.316,    46
 8.081, -2.058,   none, 2D,  1.572,  3.441,  0.395,    46
 8.151, -2.055, saddle, 2D,  1.574,  3.511,  0.395,    46
 8.221, -2.058,   none, 2D,  1.575,  3.581,  0.395,    46
 8.339, -2.095,   none, 2D,  1.579,  3.669,  0.474,    46
 8.409, -2.138,   none, 2D,  1.580,  3.739,  0.474,    46
 8.528, -2.202,   none, 2D,  1.584,  3.827,  0.553,    46
 8.597, -2.269,   none, 2D,  1.586,  3.896,  0.553,    46
 8.716, -2.337,   none, 2D,  1.590,  3.985,  0.632,    46
 8.785, -2.399,   none, 2D,  1.591,  4.054,  0.632,    46
 8.855, -2.443,   none, 2D,  1.592,  4.124,  0.632,    46
10.999, -2.462,  Li_i3, 2D,  1.804,  3.021,  8.846,    44
11.069, -2.443,   none, 2D,  1.805,  3.091,  8.846,    44
11.139, -2.399,   none, 2D,  1.807,  3.161,  8.846,    44
11.209, -2.337,   none, 2D,  1.808,  3.230,  8.846,    44
11.327, -2.269,   none, 2D,  1.812,  3.319,  8.925,    44
11.397, -2.202,   none, 2D,  1.813,  3.388,  8.925,    44
11.515, -2.138,   none, 2D,  1.817,  3.476,  9.004,    44
11.585, -2.095,   none, 2D,  1.819,  3.546,  9.004,    44
11.703, -2.058,   none, 2D,  1.823,  3.634,  9.083,    44
11.773, -2.055, saddle, 2D,  1.824,  3.704,  9.083,    44
11.843, -2.058,   none, 2D,  1.825,  3.774,  9.083,    44
11.961, -2.093,   none, 2D,  1.829,  3.862,  9.162,    44
12.031, -2.137,   none, 2D,  1.831,  3.932,  9.162,    44
12.149, -2.198,   none, 2D,  1.835,  4.020,  9.241,    44
12.219, -2.268,   none, 2D,  1.836,  4.089,  9.241,    44
12.338, -2.340,   none, 2D,  1.840,  4.177,  9.320,    44
12.407, -2.418,   none, 2D,  1.841,  4.247,  9.320,    44
12.477, -2.484,   none, 2D,  1.843,  4.317,  9.320,    44
12.595, -2.550,   none, 2D,  1.847,  4.405,  9.399,    44
12.665, -2.602,   none, 2D,  1.848,  4.475,  9.399,    44
12.735, -2.637,   none, 2D,  1.849,  4.545,  9.399,    44
12.853, -2.662,   none, 2D,  1.542,  2.443,  0.000,    44
17.883, -2.600,    Li3, 3D,  0.205,  3.607,  4.739,    16
17.965, -2.592,   none, 3D,  0.202,  3.589,  4.660,    16
18.059, -2.573,   none, 3D,  0.201,  3.641,  4.581,    16
18.160, -2.542,   none, 3D,  0.261,  3.623,  4.502,    16
18.241, -2.496,   none, 3D,  0.258,  3.604,  4.423,    16
18.335, -2.441,   none, 3D,  0.257,  3.656,  4.344,    16
18.416, -2.377,   none, 3D,  0.254,  3.638,  4.265,    16
18.497, -2.302,   none, 3D,  0.252,  3.619,  4.186,    16
18.591, -2.219,   none, 3D,  0.251,  3.671,  4.107,    16
18.673, -2.141,   none, 3D,  0.248,  3.653,  4.028,    16
18.754, -2.058,   none, 3D,  0.245,  3.634,  3.949,    16
18.835, -1.973,   none, 3D,  0.243,  3.616,  3.870,    16
18.929, -1.902,   none, 3D,  0.242,  3.668,  3.791,    16
19.010, -1.841,   none, 3D,  0.239,  3.649,  3.712,    16
19.091, -1.782,   none, 3D,  0.236,  3.631,  3.633,    16
19.186, -1.737,   none, 3D,  0.235,  3.683,  3.554,    16
19.286, -1.712,   none, 3D,  0.295,  3.664,  3.475,    16
19.367, -1.684,   none, 3D,  0.292,  3.646,  3.396,    16
19.462, -1.672,   none, 3D,  0.291,  3.698,  3.317,    16
19.562, -1.643,   none, 3D,  0.351,  3.679,  3.238,    16
19.675, -1.616,   none, 3D,  0.412,  3.731,  3.159,    16
19.737, -1.587,   none, 3D,  0.474,  3.731,  3.159,    16
19.849, -1.569,   none, 3D,  0.535,  3.783,  3.080,    16
19.962, -1.565, saddle, 3D,  0.596,  3.834,  3.001,    16
20.074, -1.583,   none, 3D,  0.657,  3.886,  2.922,    16
20.186, -1.625,   none, 3D,  0.718,  3.937,  2.843,    16
20.299, -1.692,   none, 3D,  0.779,  3.989,  2.764,    16
20.411, -1.783,   none, 3D,  0.840,  4.040,  2.685,    16
20.523, -1.891,   none, 3D,  0.901,  4.092,  2.606,    16
20.635, -2.011,   none, 3D,  0.962,  4.143,  2.527,    16
20.748, -2.133,   none, 3D,  1.023,  4.195,  2.448,    16
20.842, -2.252,   none, 3D,  1.087,  4.265,  2.448,    16
20.904, -2.354,   none, 3D,  1.149,  4.265,  2.448,    16
21.005, -2.444,   none, 3D,  1.208,  4.246,  2.369,    16
21.067, -2.521,   none, 3D,  1.271,  4.246,  2.369,    16
21.130, -2.583,   none, 3D,  1.333,  4.246,  2.369,    16
21.192, -2.633,   none, 3D,  1.395,  4.246,  2.369,    16
21.254, -2.670,   none, 3D,  1.457,  4.246,  2.369,    16
21.316, -2.695,   none, 3D,  1.520,  4.246,  2.369,    16
21.379, -2.708,   none, 3D,  1.582,  4.246,  2.369,    16
26.290, -2.711,    Li1, 3D,  1.754,  2.969,  7.108,    74
26.352, -2.708,   none, 3D,  1.816,  2.969,  7.108,    74
26.414, -2.695,   none, 3D,  1.878,  2.969,  7.108,    74
26.476, -2.670,   none, 3D,  1.940,  2.969,  7.108,    74
26.539, -2.633,   none, 3D,  2.003,  2.969,  7.108,    74
26.601, -2.583,   none, 3D,  2.065,  2.969,  7.108,    74
26.663, -2.521,   none, 3D,  2.127,  2.969,  7.108,    74
26.725, -2.444,   none, 3D,  2.189,  2.969,  7.108,    74
26.826, -2.354,   none, 3D,  2.249,  2.950,  7.029,    74
26.888, -2.252,   none, 3D,  2.311,  2.950,  7.029,    74
26.983, -2.133,   none, 3D,  2.375,  3.020,  7.029,    74
27.095, -2.011,   none, 3D,  2.436,  3.072,  6.950,    74
27.207, -1.891,   none, 3D,  2.497,  3.123,  6.871,    74
27.320, -1.783,   none, 3D,  2.558,  3.175,  6.792,    74
27.432, -1.692,   none, 3D,  2.619,  3.226,  6.713,    74
27.544, -1.625,   none, 3D,  2.680,  3.278,  6.634,    74
27.657, -1.583,   none, 3D,  2.741,  3.329,  6.555,    74
27.769, -1.565, saddle, 3D,  2.802,  3.381,  6.476,    74
27.881, -1.569,   none, 3D,  2.863,  3.432,  6.397,    74
27.994, -1.587,   none, 3D,  2.924,  3.484,  6.318,    74
28.056, -1.616,   none, 3D,  2.986,  3.484,  6.318,    74
28.168, -1.643,   none, 3D,  3.047,  3.536,  6.239,    74
28.269, -1.672,   none, 3D,  3.107,  3.517,  6.160,    74
28.363, -1.684,   none, 3D,  3.106,  3.569,  6.081,    74
28.444, -1.712,   none, 3D,  3.103,  3.551,  6.002,    74
28.545, -1.737,   none, 3D,  3.163,  3.532,  5.924,    74
28.639, -1.782,   none, 3D,  3.161,  3.584,  5.845,    74
28.720, -1.841,   none, 3D,  3.159,  3.566,  5.766,    74
28.801, -1.902,   none, 3D,  3.156,  3.547,  5.687,    74
28.896, -1.973,   none, 3D,  3.155,  3.599,  5.608,    74
28.977, -2.058,   none, 3D,  3.152,  3.581,  5.529,    74
29.058, -2.141,   none, 3D,  3.150,  3.562,  5.450,    74
29.139, -2.219,   none, 3D,  3.147,  3.544,  5.371,    74
29.233, -2.302,   none, 3D,  3.146,  3.596,  5.292,    74
29.314, -2.377,   none, 3D,  3.143,  3.577,  5.213,    74
29.396, -2.441,   none, 3D,  3.141,  3.559,  5.134,    74
29.490, -2.496,   none, 3D,  3.139,  3.611,  5.055,    74
29.571, -2.542,   none, 3D,  3.137,  3.592,  4.976,    74
29.672, -2.573,   none, 3D,  0.209,  3.574,  4.897,    74
29.766, -2.592,   none, 3D,  0.208,  3.626,  4.818,    74
32.672, -2.711,    Li1, 0D,  1.644,  4.246,  2.369,    84
32.766, -2.706,   none, 0D,  1.708,  4.316,  2.369,    84
32.828, -2.691,   none, 0D,  1.770,  4.316,  2.369,    84
32.932, -2.666,   none, 0D,  1.835,  4.334,  2.448,    84
32.994, -2.633,   none, 0D,  1.897,  4.334,  2.448,    84
33.057, -2.588,   none, 0D,  1.959,  4.334,  2.448,    84
33.119, -2.531,   none, 0D,  2.022,  4.334,  2.448,    84
33.181, -2.462,   none, 0D,  2.084,  4.334,  2.448,    84
33.243, -2.378,   none, 0D,  2.146,  4.334,  2.448,    84
33.306, -2.281,   none, 0D,  2.208,  4.334,  2.448,    84
33.418, -2.166,   none, 0D,  2.269,  4.386,  2.369,    84
33.530, -2.033,   none, 0D,  2.330,  4.438,  2.290,    84
33.625, -1.903,   none, 0D,  2.394,  4.507,  2.290,    84
33.737, -1.783,   none, 0D,  2.455,  4.559,  2.211,    84
33.849, -1.675,   none, 0D,  2.516,  4.610,  2.132,    84
33.962, -1.584,   none, 0D,  2.577,  4.662,  2.053,    84
34.074, -1.515,   none, 0D,  2.638,  4.714,  1.975,    84
34.186, -1.469,   none, 0D,  2.699,  4.765,  1.896,    84
34.249, -1.444,   none, 0D,  2.761,  4.765,  1.896,    84
34.361, -1.443, saddle, 0D,  2.822,  4.817,  1.817,    84
34.473, -1.452,   none, 0D,  2.883,  4.868,  1.738,    84
34.535, -1.458,   none, 0D,  2.946,  4.868,  1.738,    84
34.648, -1.466,   none, 0D,  3.007,  4.920,  1.659,    84
34.729, -1.480,  Li_i2, 0D,  3.004,  4.901,  1.580,    87
34.823, -1.480, saddle, 0D,  3.003,  4.953,  1.501,    87
34.904, -1.507,   none, 0D,  3.000,  4.935,  1.422,    87
35.005, -1.531,   none, 0D,  3.060,  4.916,  1.343,    87
35.099, -1.576,   none, 0D,  3.059,  4.968,  1.264,    87
35.180, -1.641,   none, 0D,  3.056,  4.950,  1.185,    87
35.261, -1.711,   none, 0D,  3.053,  4.932,  1.106,    87
35.356, -1.795,   none, 0D,  3.052,  4.983,  1.027,    87
35.437, -1.899,   none, 0D,  3.049,  4.965,  0.948,    87
35.518, -2.004,   none, 0D,  3.047,  4.947,  0.869,    87
35.599, -2.107,   none, 0D,  3.044,  4.928,  0.790,    87
35.693, -2.213,   none, 0D,  3.043,  4.980,  0.711,    87
35.775, -2.318,   none, 0D,  3.040,  4.962,  0.632,    87
35.856, -2.413,   none, 0D,  3.038,  4.943,  0.553,    87
35.937, -2.496,   none, 0D,  3.035,  4.925,  0.474,    87
36.031, -2.568,   none, 0D,  3.034,  4.977,  0.395,    87
36.112, -2.630,   none, 0D,  3.031,  4.958,  0.316,    87
36.193, -2.675,   none, 0D,  3.029,  4.940,  0.237,    87
36.306, -2.707,   none, 0D,  0.102,  4.992,  0.158,    87
36.387, -2.727,   none, 0D,  0.100,  4.973,  0.079,    87
36.481, -2.733,    Li2, 0D,  0.000,  0.000,  0.000,    59
36.543, -2.730,   none, 0D,  2.925,  0.000,  0.000,    59
36.605, -2.721,   none, 0D,  2.863,  0.000,  0.000,    59
36.668, -2.705,   none, 0D,  2.801,  0.000,  0.000,    59
36.730, -2.683,   none, 0D,  2.739,  0.000,  0.000,    59
36.792, -2.653,   none, 0D,  2.676,  0.000,  0.000,    59
36.905, -2.615,   none, 0D,  2.714,  4.973,  0.079,    59
36.999, -2.564,   none, 0D,  2.650,  4.904,  0.079,    59
37.111, -2.514,   none, 0D,  2.589,  4.852,  0.158,    59
37.224, -2.452,   none, 0D,  2.528,  4.801,  0.237,    59
37.318, -2.399,   none, 0D,  2.465,  4.731,  0.237,    59
37.380, -2.348,   none, 0D,  2.402,  4.731,  0.237,    59
37.493, -2.298,   none, 0D,  2.341,  4.679,  0.316,    59
37.587, -2.260,   none, 0D,  2.278,  4.609,  0.316,    59
37.699, -2.231,   none, 0D,  2.217,  4.558,  0.395,    59
37.794, -2.216,   none, 0D,  2.153,  4.488,  0.395,    59
37.856, -2.213, saddle, 0D,  2.091,  4.488,  0.395,    59
37.968, -2.234,   none, 0D,  2.030,  4.437,  0.474,    59
38.063, -2.259,   none, 0D,  1.966,  4.367,  0.474,    59
38.175, -2.297,   none, 0D,  1.905,  4.315,  0.553,    59
38.237, -2.344,   none, 0D,  1.843,  4.315,  0.553,    59
38.332, -2.386,   none, 0D,  1.779,  4.245,  0.553,    59
38.432, -2.421,   none, 0D,  1.720,  4.264,  0.632,    59
38.527, -2.452,   none, 0D,  1.656,  4.194,  0.632,    59
38.589, -2.462,  Li_i3, 0D,  1.594,  4.194,  0.632,    51
38.670, -2.440,   none, 0D,  1.596,  4.212,  0.711,    51
38.751, -2.391,   none, 0D,  1.599,  4.230,  0.790,    51
38.846, -2.330,   none, 0D,  1.600,  4.179,  0.869,    51
38.927, -2.269,   none, 0D,  1.603,  4.197,  0.948,    51
39.008, -2.209,   none, 0D,  1.605,  4.215,  1.027,    51
39.089, -2.153,   none, 0D,  1.608,  4.234,  1.106,    51
39.170, -2.107,   none, 0D,  1.611,  4.252,  1.185,    51
39.264, -2.089,   none, 0D,  1.612,  4.200,  1.264,    51
39.345, -2.086, saddle, 0D,  1.614,  4.219,  1.343,    51
39.427, -2.098,   none, 0D,  1.617,  4.237,  1.422,    51
39.508, -2.124,   none, 0D,  1.620,  4.255,  1.501,    51
39.602, -2.171,   none, 0D,  1.621,  4.204,  1.580,    51
39.683, -2.234,   none, 0D,  1.624,  4.222,  1.659,    51
39.764, -2.303,   none, 0D,  1.626,  4.240,  1.738,    51
39.845, -2.373,   none, 0D,  1.629,  4.258,  1.817,    51
39.926, -2.443,   none, 0D,  1.631,  4.277,  1.896,    51
40.039, -2.517,   none, 0D,  1.570,  4.225,  1.975,    51
40.120, -2.582,   none, 0D,  1.573,  4.243,  2.053,    51
40.224, -2.635,   none, 0D,  1.638,  4.261,  2.132,    51
40.305, -2.676,   none, 0D,  1.640,  4.280,  2.211,    51
40.386, -2.701,   none, 0D,  1.643,  4.298,  2.290,    51
