r_coor, energy,   site, dn,      x,      y,      z, index
 2.946, -2.300,    Li1, 1D,  2.571,  4.316,  0.000,    54
 3.058, -2.292,   none, 1D,  2.612,  4.396,  0.067,    54
 3.175, -2.277,   none, 1D,  2.697,  4.476,  0.067,    54
 3.287, -2.251,   none, 1D,  2.738,  4.556,  0.134,    54
 3.404, -2.214,   none, 1D,  2.823,  4.636,  0.134,    54
 3.516, -2.175,   none, 1D,  2.864,  4.716,  0.201,    54
 3.633, -2.125,   none, 1D,  2.950,  4.796,  0.201,    54
 3.745, -2.087,   none, 1D,  2.990,  4.875,  0.268,    54
 3.857, -2.045,   none, 1D,  3.030,  4.955,  0.335,    54
 3.974, -2.022,   none, 1D,  3.116,  5.035,  0.335,    54
 4.086, -2.010, saddle, 1D,  3.156,  5.115,  0.402,    54
 4.203, -2.017,   none, 1D,  3.242,  5.195,  0.402,    54
 4.315, -2.047,   none, 1D,  3.282,  5.275,  0.469,    54
 4.432, -2.088,   none, 1D,  3.368,  5.355,  0.469,    54
 4.544, -2.153,   none, 1D,  3.408,  5.435,  0.536,    54
 4.624, -2.220,   none, 1D,  3.408,  5.515,  0.536,    54
 4.736, -2.281,   none, 1D,  3.449,  5.595,  0.603,    54
 4.853, -2.329,   none, 1D,  3.535,  5.675,  0.603,    54
 4.933, -2.347,  Li_i2, 1D,  3.535,  0.000,  0.603,    53
 5.013, -2.329,   none, 1D,  3.535,  0.080,  0.603,    53
 5.130, -2.281,   none, 1D,  3.449,  0.160,  0.603,    53
 5.242, -2.220,   none, 1D,  3.408,  0.240,  0.536,    53
 5.322, -2.153,   none, 1D,  3.408,  0.320,  0.536,    53
 5.434, -2.088,   none, 1D,  3.368,  0.400,  0.469,    53
 5.551, -2.047,   none, 1D,  3.282,  0.480,  0.469,    53
 5.662, -2.017,   none, 1D,  3.242,  0.559,  0.402,    53
 5.780, -2.010, saddle, 1D,  3.156,  0.639,  0.402,    53
 5.891, -2.022,   none, 1D,  3.116,  0.719,  0.335,    53
 6.009, -2.045,   none, 1D,  3.030,  0.799,  0.335,    53
 6.120, -2.087,   none, 1D,  2.990,  0.879,  0.268,    53
 6.232, -2.125,   none, 1D,  2.950,  0.959,  0.201,    53
 6.349, -2.175,   none, 1D,  2.864,  1.039,  0.201,    53
 6.461, -2.214,   none, 1D,  2.823,  1.119,  0.134,    53
 6.578, -2.251,   none, 1D,  2.738,  1.199,  0.134,    53
 6.690, -2.277,   none, 1D,  2.697,  1.279,  0.067,    53
 6.807, -2.292,   none, 1D,  2.612,  1.359,  0.067,    53
 6.919, -2.300,    Li1, 1D,  2.571,  1.439,  0.000,    41
 7.031, -2.292,   none, 1D, -0.735,  1.519,  4.754,    41
 7.148, -2.277,   none, 1D, -0.821,  1.599,  4.754,    41
 7.260, -2.251,   none, 1D, -0.861,  1.678,  4.687,    41
 7.377, -2.214,   none, 1D, -0.947,  1.758,  4.687,    41
 7.489, -2.175,   none, 1D, -0.987,  1.838,  4.620,    41
 7.606, -2.125,   none, 1D, -1.073,  1.918,  4.620,    41
 7.718, -2.087,   none, 1D, -1.113,  1.998,  4.553,    41
 7.830, -2.045,   none, 1D, -1.154,  2.078,  4.486,    41
 7.947, -2.022,   none, 1D, -1.239,  2.158,  4.486,    41
 8.059, -2.010, saddle, 1D, -1.280,  2.238,  4.419,    41
 8.176, -2.017,   none, 1D, -1.365,  2.318,  4.419,    41
 8.288, -2.047,   none, 1D, -1.406,  2.398,  4.352,    41
 8.405, -2.088,   none, 1D, -1.491,  2.478,  4.352,    41
 8.517, -2.153,   none, 1D, -1.532,  2.558,  4.285,    41
 8.597, -2.220,   none, 1D, -1.532,  2.638,  4.285,    41
 8.709, -2.281,   none, 1D, -1.572,  2.717,  4.218,    41
 8.826, -2.329,   none, 1D, -1.658,  2.797,  4.218,    41
 8.906, -2.347,  Li_i2, 1D, -1.658,  2.877,  4.218,    42
 8.986, -2.329,   none, 1D, -1.658,  2.957,  4.218,    42
 9.103, -2.281,   none, 1D, -1.572,  3.037,  4.218,    42
 9.215, -2.220,   none, 1D, -1.532,  3.117,  4.285,    42
 9.294, -2.153,   none, 1D, -1.532,  3.197,  4.285,    42
 9.406, -2.088,   none, 1D, -1.491,  3.277,  4.352,    42
 9.523, -2.047,   none, 1D, -1.406,  3.357,  4.352,    42
