r_coor, energy,   site, dn,      x,      y,      z, index
 3.516,  3.941,  Li_i1, 1D,  0.000,  3.356,  1.048,     2
 3.603,  3.990,   none, 1D,  0.000,  3.356,  1.135,     2
 3.691,  4.135,   none, 1D,  0.000,  3.356,  1.222,     2
 3.778,  4.369,   none, 1D,  0.000,  3.356,  1.309,     2
 3.865,  4.678,   none, 1D,  0.000,  3.356,  1.397,     2
 3.953,  5.044,   none, 1D,  0.000,  3.356,  1.484,     2
 4.040,  5.446,   none, 1D,  0.000,  3.356,  1.571,     2
 4.127,  5.855,   none, 1D,  0.000,  3.356,  1.659,     2
 4.214,  6.245,   none, 1D,  0.000,  3.356,  1.746,     2
 4.302,  6.585,   none, 1D,  0.000,  3.356,  1.833,     2
 4.389,  6.850,   none, 1D,  0.000,  3.356,  1.920,     2
 4.476,  7.018,   none, 1D,  0.000,  3.356,  2.008,     2
 4.564,  7.076, saddle, 1D,  0.000,  3.356,  2.095,     2
 4.651,  7.018,   none, 1D,  0.000,  3.356,  2.182,     2
 4.738,  6.850,   none, 1D,  0.000,  3.356,  2.270,     2
 4.826,  6.585,   none, 1D,  0.000,  3.356,  2.357,     2
 4.913,  6.245,   none, 1D,  0.000,  3.356,  2.444,     2
 5.000,  5.855,   none, 1D,  0.000,  3.356,  2.532,     2
 5.087,  5.446,   none, 1D,  0.000,  3.356,  2.619,     2
 5.175,  5.044,   none, 1D,  0.000,  3.356,  2.706,     2
 5.262,  4.678,   none, 1D,  0.000,  3.356,  2.793,     2
 5.349,  4.369,   none, 1D,  0.000,  3.356,  2.881,     2
 5.437,  4.135,   none, 1D,  0.000,  3.356,  2.968,     2
 5.524,  3.990,   none, 1D,  0.000,  3.356,  3.055,     2
 5.611,  3.941,  Li_i1, 1D,  0.000,  3.356,  3.143,     0
 5.698,  3.990,   none, 1D,  0.000,  3.356,  3.230,     0
 5.786,  4.135,   none, 1D,  0.000,  3.356,  3.317,     0
 5.873,  4.369,   none, 1D,  0.000,  3.356,  3.404,     0
 5.960,  4.678,   none, 1D,  0.000,  3.356,  3.492,     0
 6.048,  5.044,   none, 1D,  0.000,  3.356,  3.579,     0
 6.135,  5.446,   none, 1D,  0.000,  3.356,  3.666,     0
 6.222,  5.855,   none, 1D,  0.000,  3.356,  3.754,     0
 6.310,  6.245,   none, 1D,  0.000,  3.356,  3.841,     0
 6.397,  6.585,   none, 1D,  0.000,  3.356,  3.928,     0
 6.484,  6.850,   none, 1D,  0.000,  3.356,  4.016,     0
 6.571,  7.018,   none, 1D,  0.000,  3.356,  4.103,     0
 6.659,  7.076, saddle, 1D,  0.000,  3.356,  0.000,     0
 6.746,  7.018,   none, 1D,  0.000,  3.356,  0.087,     0
 6.833,  6.850,   none, 1D,  0.000,  3.356,  0.175,     0
 6.921,  6.585,   none, 1D,  0.000,  3.356,  0.262,     0
 7.008,  6.245,   none, 1D,  0.000,  3.356,  0.349,     0
 7.095,  5.855,   none, 1D,  0.000,  3.356,  0.436,     0
 7.182,  5.446,   none, 1D,  0.000,  3.356,  0.524,     0
 7.270,  5.044,   none, 1D,  0.000,  3.356,  0.611,     0
 7.357,  4.678,   none, 1D,  0.000,  3.356,  0.698,     0
 7.444,  4.369,   none, 1D,  0.000,  3.356,  0.786,     0
 7.532,  4.135,   none, 1D,  0.000,  3.356,  0.873,     0
 7.619,  3.990,   none, 1D,  0.000,  3.356,  0.960,     0
12.367,  3.941,  Li_i1, 2D,  3.356,  0.000,  1.048,    36
12.460,  3.998,   none, 2D,  3.450,  0.000,  1.048,    36
12.553,  4.168,   none, 2D,  3.543,  0.000,  1.048,    36
12.646,  4.447,   none, 2D,  3.636,  0.000,  1.048,    36
12.739,  4.828,   none, 2D,  3.729,  0.000,  1.048,    36
12.871,  5.247,   none, 2D,  3.823,  0.093,  1.048,    36
12.965,  5.711,   none, 2D,  3.916,  0.093,  1.048,    36
13.096,  6.179,   none, 2D,  4.009,  0.186,  1.048,    36
13.190,  6.555,   none, 2D,  4.102,  0.186,  1.048,    36
13.348,  6.875,   none, 2D,  4.196,  0.280,  0.960,    36
13.475,  7.025, saddle, 2D,  4.289,  0.280,  1.048,    36
13.634,  6.981,   none, 2D,  4.382,  0.373,  0.960,    36
13.727,  6.811,   none, 2D,  4.475,  0.373,  0.960,    36
13.859,  6.483,   none, 2D,  4.569,  0.466,  0.960,    36
13.952,  6.027,   none, 2D,  4.662,  0.466,  0.960,    36
14.110,  5.501,   none, 2D,  4.755,  0.559,  0.873,    36
14.203,  4.914,   none, 2D,  4.848,  0.559,  0.873,    36
14.297,  4.334,   none, 2D,  4.941,  0.559,  0.873,    36
14.390,  3.780,   none, 2D,  5.035,  0.559,  0.873,    36
14.483,  3.266,   none, 2D,  5.128,  0.559,  0.873,    36
14.576,  2.804,   none, 2D,  5.221,  0.559,  0.873,    36
14.704,  2.387,   none, 2D,  5.314,  0.559,  0.786,    36
14.797,  2.012,   none, 2D,  5.408,  0.559,  0.786,    36
14.955,  1.650,   none, 2D,  5.501,  0.466,  0.698,    36
15.083,  1.272,   none, 2D,  5.594,  0.466,  0.611,    36
15.241,  0.901,   none, 2D,  5.687,  0.373,  0.524,    36
15.369,  0.488,   none, 2D,  5.781,  0.373,  0.436,    36
15.527,  0.084,   none, 2D,  5.874,  0.280,  0.349,    36
15.655, -0.320,   none, 2D,  5.967,  0.280,  0.262,    36
15.813, -0.692,   none, 2D,  6.060,  0.186,  0.175,    36
15.941, -1.005,   none, 2D,  6.154,  0.186,  0.087,    36
16.099, -1.257,   none, 2D,  6.247,  0.093,  0.000,    36
16.192, -1.432,   none, 2D,  6.340,  0.093,  0.000,    36
16.324, -1.562,   none, 2D,  6.433,  0.000,  0.000,    36
16.417, -1.646,   none, 2D,  6.526,  0.000,  0.000,    36
16.510, -1.693,   none, 2D,  6.620,  0.000,  0.000,    36
16.604, -1.708,    Li1, 2D,  0.000,  0.000,  0.000,    20
16.697, -1.693,   none, 2D,  0.093,  0.000,  0.000,    20
16.790, -1.646,   none, 2D,  0.186,  0.000,  0.000,    20
16.883, -1.562,   none, 2D,  0.280,  0.000,  0.000,    20
17.015, -1.432,   none, 2D,  0.373,  6.620,  0.000,    20
17.108, -1.257,   none, 2D,  0.466,  6.620,  0.000,    20
17.266, -1.005,   none, 2D,  0.559,  6.526,  0.087,    20
