r_coor, energy,   site, dn,      x,      y,      z, index
 2.876, -1.736,  Li_i1, 1D,  0.000,  0.000,  2.876,     0
 2.937, -1.729,   none, 1D,  0.031,  0.053,  2.876,     0
 2.998, -1.718,   none, 1D,  0.000,  0.106,  2.876,     0
 3.059, -1.696,   none, 1D,  0.031,  0.159,  2.876,     0
 3.121, -1.674,   none, 1D,  0.000,  0.212,  2.876,     0
 3.182, -1.643,   none, 1D,  0.031,  0.265,  2.876,     0
 3.284, -1.623,   none, 1D,  0.000,  0.318,  2.794,     0
 3.346, -1.608,   none, 1D,  0.031,  0.371,  2.794,     0
 3.407, -1.599,   none, 1D,  0.000,  0.424,  2.794,     0
 3.468, -1.585,   none, 1D,  0.031,  0.477,  2.794,     0
 3.529, -1.579, saddle, 1D,  0.000,  0.530,  2.794,     0
 3.632, -1.582,   none, 1D,  0.031,  0.583,  2.711,     0
 3.693, -1.604,   none, 1D,  0.000,  0.636,  2.711,     0
 3.754, -1.621,   none, 1D,  0.031,  0.689,  2.711,     0
 3.815, -1.646,   none, 1D,  0.000,  0.742,  2.711,     0
 3.918, -1.675,   none, 1D,  0.031,  0.795,  2.629,     0
 3.979, -1.724,   none, 1D,  0.000,  0.848,  2.629,     0
 4.040, -1.766,   none, 1D,  0.031,  0.901,  2.629,     0
 4.101, -1.811,   none, 1D,  0.000,  0.954,  2.629,     0
 4.204, -1.859,   none, 1D,  0.031,  1.007,  2.547,     0
 4.265, -1.917,   none, 1D,  0.000,  1.060,  2.547,     0
 4.326, -1.967,   none, 1D,  0.031,  1.113,  2.547,     0
 4.388, -2.014,   none, 1D,  0.000,  1.166,  2.547,     0
 4.490, -2.062,   none, 1D,  0.031,  1.219,  2.465,     0
 4.551, -2.111,   none, 1D,  0.000,  1.272,  2.465,     0
 4.613, -2.151,   none, 1D,  0.031,  1.325,  2.465,     0
 4.674, -2.186,   none, 1D,  0.000,  1.378,  2.465,     0
 4.735, -2.213,   none, 1D,  0.031,  1.431,  2.465,     0
 4.837, -2.240,   none, 1D,  0.000,  1.484,  2.383,     0
 4.899, -2.261,   none, 1D,  0.031,  1.538,  2.383,     0
 4.960, -2.276,   none, 1D,  0.000,  1.591,  2.383,     0
 5.021, -2.283,   none, 1D,  0.031,  1.644,  2.383,     0
 5.082, -2.287,    Li1, 1D,  0.000,  1.697,  2.383,     3
 5.144, -2.283,   none, 1D, -0.061,  1.697,  2.383,     3
 5.250, -2.261,   none, 1D, -0.153,  1.750,  2.383,     3
 5.384, -2.213,   none, 1D, -0.245,  1.803,  2.465,     3
 5.490, -2.151,   none, 1D, -0.337,  1.856,  2.465,     3
 5.596, -2.062,   none, 1D, -0.429,  1.909,  2.465,     3
 5.730, -1.967,   none, 1D, -0.520,  1.962,  2.547,     3
 5.836, -1.859,   none, 1D, -0.612,  2.015,  2.547,     3
 5.970, -1.766,   none, 1D, -0.704,  2.068,  2.629,     3
 6.076, -1.675,   none, 1D, -0.796,  2.121,  2.629,     3
 6.210, -1.621,   none, 1D, -0.888,  2.174,  2.711,     3
 6.316, -1.582, saddle, 1D, -0.980,  2.227,  2.711,     3
 6.450, -1.585,   none, 1D, -1.071,  2.280,  2.794,     3
 6.557, -1.608,   none, 1D, -1.163,  2.333,  2.794,     3
 6.691, -1.643,   none, 1D, -1.255,  2.386,  2.876,     3
 6.797, -1.696,   none, 1D, -1.347,  2.439,  2.876,     3
 6.903, -1.729,   none, 1D, -1.439,  2.492,  2.876,     3
 6.964, -1.736,  Li_i1, 3D,  0.000,  0.000,  2.876,    20
 7.046, -1.696,   none, 3D,  0.000,  0.000,  2.958,    20
 7.128, -1.579,   none, 3D,  0.000,  0.000,  3.040,    20
 7.210, -1.402,   none, 3D,  0.000,  0.000,  3.122,    20
 7.293, -1.178,   none, 3D,  0.000,  0.000,  3.204,    20
 7.375, -0.920,   none, 3D,  0.000,  0.000,  3.287,    20
 7.457, -0.637,   none, 3D,  0.000,  0.000,  3.369,    20
 7.539, -0.337,   none, 3D,  0.000,  0.000,  3.451,    20
 7.621, -0.029,   none, 3D,  0.000,  0.000,  3.533,    20
 7.703,  0.279,   none, 3D,  0.000,  0.000,  3.615,    20
 7.786,  0.581,   none, 3D,  0.000,  0.000,  3.697,    20
 7.888,  0.913,   none, 3D,  0.031,  0.053,  3.780,    20
 7.991,  1.285,   none, 3D,  0.092,  0.053,  3.862,    20
 8.093,  1.739,   none, 3D,  0.122,  0.106,  3.944,    20
 8.195,  2.249,   none, 3D,  0.184,  0.106,  4.026,    20
 8.298,  2.832,   none, 3D,  0.214,  0.159,  4.108,    20
