r_coor, energy,   site, dn,      x,      y,      z, index
 4.548, -1.878,  Li_i1, 1D,  7.303,  3.130,  5.217,   152
 4.635, -1.876,   none, 1D,  7.303,  3.217,  5.217,   152
 4.785, -1.869,   none, 1D,  7.390,  3.304,  5.130,   152
 4.936, -1.850,   none, 1D,  7.477,  3.391,  5.043,   152
 5.087, -1.823,   none, 1D,  7.564,  3.478,  4.956,   152
 5.237, -1.795,   none, 1D,  7.651,  3.565,  4.869,   152
 5.388, -1.776, saddle, 1D,  7.738,  3.652,  4.782,   152
 5.538, -1.777,   none, 1D,  7.825,  3.739,  4.695,   152
 5.689, -1.805,   none, 1D,  7.912,  3.826,  4.608,   152
 5.839, -1.862,   none, 1D,  7.999,  3.913,  4.521,   152
 5.990, -1.941,   none, 1D,  8.086,  3.999,  4.434,   152
 6.141, -2.030,   none, 1D,  8.173,  4.086,  4.347,   152
 6.291, -2.102,   none, 1D,  8.260,  4.173,  4.260,   152
 6.414, -2.131,    Li1, 1D,  0.000,  4.173,  4.173,    14
 6.537, -2.102,   none, 1D,  0.000,  4.086,  4.086,    14
 6.688, -2.030,   none, 1D,  0.087,  3.999,  3.999,    14
 6.838, -1.941,   none, 1D,  0.174,  3.913,  3.913,    14
 6.989, -1.862,   none, 1D,  0.261,  3.826,  3.826,    14
 7.140, -1.805,   none, 1D,  0.348,  3.739,  3.739,    14
 7.290, -1.777,   none, 1D,  0.435,  3.652,  3.652,    14
 7.441, -1.776, saddle, 1D,  0.522,  3.565,  3.565,    14
 7.591, -1.795,   none, 1D,  0.609,  3.478,  3.478,    14
 7.742, -1.823,   none, 1D,  0.696,  3.391,  3.391,    14
 7.893, -1.850,   none, 1D,  0.783,  3.304,  3.304,    14
 8.043, -1.869,   none, 1D,  0.869,  3.217,  3.217,    14
 8.194, -1.876,   none, 1D,  0.956,  3.130,  3.130,    14
 8.281, -1.878,  Li_i1, 1D,  1.043,  3.130,  3.130,    32
 8.368, -1.875,   none, 1D,  1.043,  3.130,  3.043,    32
 8.518, -1.864,   none, 1D,  1.130,  3.043,  2.956,    32
 8.669, -1.842,   none, 1D,  1.217,  2.956,  2.869,    32
 8.819, -1.814,   none, 1D,  1.304,  2.869,  2.782,    32
 8.970, -1.787,   none, 1D,  1.391,  2.782,  2.695,    32
 9.121, -1.770, saddle, 1D,  1.478,  2.695,  2.608,    32
 9.271, -1.773,   none, 1D,  1.565,  2.608,  2.521,    32
 9.422, -1.801,   none, 1D,  1.652,  2.521,  2.434,    32
 9.572, -1.856,   none, 1D,  1.739,  2.434,  2.348,    32
 9.723, -1.931,   none, 1D,  1.826,  2.348,  2.261,    32
 9.874, -2.014,   none, 1D,  1.913,  2.261,  2.174,    32
10.024, -2.082,   none, 1D,  2.000,  2.174,  2.087,    32
10.147, -2.106,  Li_i5, 1D,  2.087,  2.087,  2.087,    31
10.298, -2.100,   none, 1D,  2.000,  2.000,  2.000,    31
10.448, -2.042,   none, 1D,  1.913,  1.913,  1.913,    31
10.599, -1.969,   none, 1D,  1.826,  1.826,  1.826,    31
10.749, -1.902,   none, 1D,  1.739,  1.739,  1.739,    31
10.900, -1.851,   none, 1D,  1.652,  1.652,  1.652,    31
11.051, -1.821,   none, 1D,  1.565,  1.565,  1.565,    31
11.201, -1.810, saddle, 1D,  1.478,  1.478,  1.478,    31
11.352, -1.813,   none, 1D,  1.391,  1.391,  1.391,    31
11.502, -1.822,   none, 1D,  1.304,  1.304,  1.304,    31
11.653, -1.832,   none, 1D,  1.217,  1.217,  1.217,    31
11.804, -1.840,   none, 1D,  1.130,  1.130,  1.130,    31
11.954, -1.841,  Li_i3, 1D,  1.043,  1.043,  1.043,    17
12.105, -1.836,   none, 1D,  0.956,  0.956,  0.956,    17
12.255, -1.823,   none, 1D,  0.869,  0.869,  0.869,    17
12.406, -1.805,   none, 1D,  0.783,  0.783,  0.783,    17
12.557, -1.788,   none, 1D,  0.696,  0.696,  0.696,    17
12.707, -1.778, saddle, 1D,  0.609,  0.609,  0.609,    17
12.858, -1.784,   none, 1D,  0.522,  0.522,  0.522,    17
13.008, -1.814,   none, 1D,  0.435,  0.435,  0.435,    17
13.159, -1.871,   none, 1D,  0.348,  0.348,  0.348,    17
13.310, -1.949,   none, 1D,  0.261,  0.261,  0.261,    17
13.460, -2.037,   none, 1D,  0.174,  0.174,  0.174,    17
13.611, -2.110,   none, 1D,  0.087,  0.087,  0.087,    17
13.761, -2.131,    Li1, 1D,  0.000,  0.000,  0.000,   151
13.884, -2.102,   none, 1D,  8.260,  0.087,  0.000,   151
14.035, -2.030,   none, 1D,  8.173,  0.174,  8.260,   151
14.185, -1.941,   none, 1D,  8.086,  0.261,  8.173,   151
14.336, -1.862,   none, 1D,  7.999,  0.348,  8.086,   151
14.487, -1.805,   none, 1D,  7.912,  0.435,  7.999,   151
14.637, -1.777,   none, 1D,  7.825,  0.522,  7.912,   151
14.788, -1.776, saddle, 1D,  7.738,  0.609,  7.825,   151
14.938, -1.795,   none, 1D,  7.651,  0.696,  7.738,   151
15.089, -1.823,   none, 1D,  7.564,  0.783,  7.651,   151
15.240, -1.850,   none, 1D,  7.477,  0.869,  7.564,   151
15.390, -1.869,   none, 1D,  7.390,  0.956,  7.477,   151
15.541, -1.876,   none, 1D,  7.303,  1.043,  7.390,   151
15.628, -1.878,  Li_i1, 1D,  7.303,  1.043,  7.303,   137
15.715, -1.875,   none, 1D,  7.303,  1.130,  7.303,   137
15.865, -1.864,   none, 1D,  7.216,  1.217,  7.216,   137
16.016, -1.842,   none, 1D,  7.129,  1.304,  7.129,   137
16.166, -1.814,   none, 1D,  7.043,  1.391,  7.043,   137
16.317, -1.787,   none, 1D,  6.956,  1.478,  6.956,   137
16.468, -1.770, saddle, 1D,  6.869,  1.565,  6.869,   137
16.618, -1.773,   none, 1D,  6.782,  1.652,  6.782,   137
16.769, -1.801,   none, 1D,  6.695,  1.739,  6.695,   137
16.919, -1.856,   none, 1D,  6.608,  1.826,  6.608,   137
17.070, -1.931,   none, 1D,  6.521,  1.913,  6.521,   137
17.221, -2.014,   none, 1D,  6.434,  2.000,  6.434,   137
17.371, -2.082,   none, 1D,  6.347,  2.087,  6.347,   137
17.494, -2.106,  Li_i5, 1D,  6.260,  2.087,  6.260,   134
17.617, -2.082,   none, 1D,  6.260,  2.174,  6.173,   134
17.768, -2.014,   none, 1D,  6.347,  2.261,  6.086,   134
17.918, -1.931,   none, 1D,  6.434,  2.348,  5.999,   134
18.069, -1.856,   none, 1D,  6.521,  2.434,  5.912,   134
18.219, -1.801,   none, 1D,  6.608,  2.521,  5.825,   134
18.370, -1.773,   none, 1D,  6.695,  2.608,  5.738,   134
18.521, -1.770, saddle, 1D,  6.782,  2.695,  5.651,   134
18.671, -1.787,   none, 1D,  6.869,  2.782,  5.564,   134
18.822, -1.814,   none, 1D,  6.956,  2.869,  5.478,   134
18.972, -1.842,   none, 1D,  7.043,  2.956,  5.391,   134
19.123, -1.864,   none, 1D,  7.129,  3.043,  5.304,   134
19.274, -1.875,   none, 1D,  7.216,  3.130,  5.217,   134
23.762, -2.131,    Li1, 0D,  4.173,  4.173,  0.000,    98
23.885, -2.102,   none, 0D,  4.260,  4.173,  0.087,    98
24.036, -2.030,   none, 0D,  4.347,  4.260,  0.174,    98
24.186, -1.941,   none, 0D,  4.434,  4.347,  0.261,    98
24.337, -1.862,   none, 0D,  4.521,  4.434,  0.348,    98
24.487, -1.805,   none, 0D,  4.608,  4.521,  0.435,    98
24.638, -1.777,   none, 0D,  4.695,  4.608,  0.522,    98
24.789, -1.776, saddle, 0D,  4.782,  4.695,  0.609,    98
24.939, -1.795,   none, 0D,  4.869,  4.782,  0.696,    98
25.090, -1.823,   none, 0D,  4.956,  4.869,  0.783,    98
25.240, -1.850,   none, 0D,  5.043,  4.956,  0.869,    98
25.391, -1.869,   none, 0D,  5.130,  5.043,  0.956,    98
25.542, -1.876,   none, 0D,  5.217,  5.130,  1.043,    98
25.628, -1.878,  Li_i1, 0D,  5.217,  5.217,  1.043,   116
25.715, -1.875,   none, 0D,  5.304,  5.217,  1.043,   116
25.866, -1.864,   none, 0D,  5.391,  5.304,  1.130,   116
26.017, -1.842,   none, 0D,  5.478,  5.391,  1.217,   116
26.167, -1.814,   none, 0D,  5.564,  5.478,  1.304,   116
26.318, -1.787,   none, 0D,  5.651,  5.564,  1.391,   116
26.468, -1.770, saddle, 0D,  5.738,  5.651,  1.478,   116
26.619, -1.773,   none, 0D,  5.825,  5.738,  1.565,   116
26.770, -1.801,   none, 0D,  5.912,  5.825,  1.652,   116
26.920, -1.856,   none, 0D,  5.999,  5.912,  1.739,   116
27.071, -1.931,   none, 0D,  6.086,  5.999,  1.826,   116
27.221, -2.014,   none, 0D,  6.173,  6.086,  1.913,   116
27.372, -2.082,   none, 0D,  6.260,  6.173,  2.000,   116
27.495, -2.106,  Li_i5, 0D,  6.260,  6.260,  2.087,   138
27.646, -2.100,   none, 0D,  6.347,  6.173,  2.174,   138
27.796, -2.042,   none, 0D,  6.434,  6.086,  2.261,   138
27.947, -1.969,   none, 0D,  6.521,  5.999,  2.348,   138
28.097, -1.902,   none, 0D,  6.608,  5.912,  2.434,   138
28.248, -1.851,   none, 0D,  6.695,  5.825,  2.521,   138
28.398, -1.821,   none, 0D,  6.782,  5.738,  2.608,   138
28.549, -1.810, saddle, 0D,  6.869,  5.651,  2.695,   138
28.700, -1.813,   none, 0D,  6.956,  5.564,  2.782,   138
28.850, -1.822,   none, 0D,  7.043,  5.478,  2.869,   138
29.001, -1.832,   none, 0D,  7.129,  5.391,  2.956,   138
29.151, -1.840,   none, 0D,  7.216,  5.304,  3.043,   138
29.302, -1.841,  Li_i3, 0D,  7.303,  5.217,  3.130,   154
29.453, -1.836,   none, 0D,  7.390,  5.130,  3.217,   154
29.603, -1.823,   none, 0D,  7.477,  5.043,  3.304,   154
29.754, -1.805,   none, 0D,  7.564,  4.956,  3.391,   154
29.904, -1.788,   none, 0D,  7.651,  4.869,  3.478,   154
30.055, -1.778, saddle, 0D,  7.738,  4.782,  3.565,   154
30.206, -1.784,   none, 0D,  7.825,  4.695,  3.652,   154
30.356, -1.814,   none, 0D,  7.912,  4.608,  3.739,   154
30.507, -1.871,   none, 0D,  7.999,  4.521,  3.826,   154
30.657, -1.949,   none, 0D,  8.086,  4.434,  3.913,   154
30.808, -2.037,   none, 0D,  8.173,  4.347,  3.999,   154
30.959, -2.110,   none, 0D,  8.260,  4.260,  4.086,   154
31.109, -2.131,    Li1, 0D,  0.000,  4.173,  4.173,    14
31.232, -2.102,   none, 0D,  0.000,  4.086,  4.086,    14
31.383, -2.030,   none, 0D,  0.087,  3.999,  3.999,    14
31.533, -1.941,   none, 0D,  0.174,  3.913,  3.913,    14
31.684, -1.862,   none, 0D,  0.261,  3.826,  3.826,    14
31.834, -1.805,   none, 0D,  0.348,  3.739,  3.739,    14
31.985, -1.777,   none, 0D,  0.435,  3.652,  3.652,    14
32.136, -1.776, saddle, 0D,  0.522,  3.565,  3.565,    14
32.286, -1.795,   none, 0D,  0.609,  3.478,  3.478,    14
32.437, -1.823,   none, 0D,  0.696,  3.391,  3.391,    14
32.587, -1.850,   none, 0D,  0.783,  3.304,  3.304,    14
32.738, -1.869,   none, 0D,  0.869,  3.217,  3.217,    14
32.889, -1.876,   none, 0D,  0.956,  3.130,  3.130,    14
32.976, -1.878,  Li_i1, 0D,  1.043,  3.130,  3.130,    32
33.063, -1.875,   none, 0D,  1.043,  3.130,  3.043,    32
33.213, -1.864,   none, 0D,  1.130,  3.043,  2.956,    32
33.364, -1.842,   none, 0D,  1.217,  2.956,  2.869,    32
33.514, -1.814,   none, 0D,  1.304,  2.869,  2.782,    32
33.665, -1.787,   none, 0D,  1.391,  2.782,  2.695,    32
33.815, -1.770, saddle, 0D,  1.478,  2.695,  2.608,    32
33.966, -1.773,   none, 0D,  1.565,  2.608,  2.521,    32
34.117, -1.801,   none, 0D,  1.652,  2.521,  2.434,    32
34.267, -1.856,   none, 0D,  1.739,  2.434,  2.348,    32
34.418, -1.931,   none, 0D,  1.826,  2.348,  2.261,    32
34.568, -2.014,   none, 0D,  1.913,  2.261,  2.174,    32
34.719, -2.082,   none, 0D,  2.000,  2.174,  2.087,    32
34.842, -2.106,  Li_i5, 0D,  2.087,  2.087,  2.087,    31
34.993, -2.100,   none, 0D,  2.000,  2.000,  2.000,    31
35.143, -2.042,   none, 0D,  1.913,  1.913,  1.913,    31
35.294, -1.969,   none, 0D,  1.826,  1.826,  1.826,    31
35.444, -1.902,   none, 0D,  1.739,  1.739,  1.739,    31
35.595, -1.851,   none, 0D,  1.652,  1.652,  1.652,    31
35.746, -1.821,   none, 0D,  1.565,  1.565,  1.565,    31
35.896, -1.810, saddle, 0D,  1.478,  1.478,  1.478,    31
36.047, -1.813,   none, 0D,  1.391,  1.391,  1.391,    31
36.197, -1.822,   none, 0D,  1.304,  1.304,  1.304,    31
36.348, -1.832,   none, 0D,  1.217,  1.217,  1.217,    31
36.499, -1.840,   none, 0D,  1.130,  1.130,  1.130,    31
36.649, -1.841,  Li_i3, 0D,  1.043,  1.043,  1.043,    17
36.800, -1.836,   none, 0D,  0.956,  0.956,  0.956,    17
36.950, -1.823,   none, 0D,  0.869,  0.869,  0.869,    17
37.101, -1.805,   none, 0D,  0.783,  0.783,  0.783,    17
37.251, -1.788,   none, 0D,  0.696,  0.696,  0.696,    17
37.402, -1.778, saddle, 0D,  0.609,  0.609,  0.609,    17
37.553, -1.784,   none, 0D,  0.522,  0.522,  0.522,    17
37.703, -1.814,   none, 0D,  0.435,  0.435,  0.435,    17
37.854, -1.871,   none, 0D,  0.348,  0.348,  0.348,    17
38.004, -1.949,   none, 0D,  0.261,  0.261,  0.261,    17
