r_coor, energy,   site, dn,      x,      y,      z, index
 3.056, -2.109,    Li1, 1D, -1.158,  1.436,  2.437,    10
 3.132, -2.103,   none, 1D, -1.081,  1.436,  2.437,    10
 3.208, -2.087,   none, 1D, -1.005,  1.436,  2.437,    10
 3.285, -2.060,   none, 1D, -0.929,  1.436,  2.437,    10
 3.361, -2.022,   none, 1D, -0.853,  1.436,  2.437,    10
 3.437, -1.971,   none, 1D, -0.777,  1.436,  2.437,    10
 3.513, -1.908,   none, 1D, -0.700,  1.436,  2.437,    10
 3.594, -1.834,   none, 1D, -0.656,  1.436,  2.504,    10
 3.670, -1.756,   none, 1D, -0.580,  1.436,  2.504,    10
 3.747, -1.666,   none, 1D, -0.504,  1.436,  2.504,    10
 3.823, -1.564,   none, 1D, -0.428,  1.436,  2.504,    10
 3.904, -1.462,   none, 1D, -0.383,  1.436,  2.572,    10
 3.980, -1.363,   none, 1D, -0.307,  1.436,  2.572,    10
 4.056, -1.256,   none, 1D, -0.231,  1.436,  2.572,    10
 4.137, -1.146,   none, 1D, -0.187,  1.436,  2.640,    10
 4.213, -1.061,   none, 1D, -0.111,  1.436,  2.640,    10
 4.289, -0.975,   none, 1D, -0.034,  1.436,  2.640,    10
 4.366, -0.890,   none, 1D,  0.042,  1.436,  2.640,    10
 4.446, -0.826,   none, 1D,  0.086,  1.436,  2.707,    10
 4.523, -0.783,   none, 1D,  0.162,  1.436,  2.707,    10
 4.599, -0.747,   none, 1D,  0.238,  1.436,  2.707,    10
 4.675, -0.718,   none, 1D,  0.315,  1.436,  2.707,    10
 4.756, -0.706, saddle, 1D,  0.359,  1.436,  2.775,    10
 4.832, -0.719,   none, 1D,  0.435,  1.436,  2.775,    10
 4.908, -0.739,   none, 1D,  0.511,  1.436,  2.775,    10
 4.984, -0.762,   none, 1D,  0.587,  1.436,  2.775,    10
 5.061, -0.788,   none, 1D,  0.663,  1.436,  2.775,    10
 5.158, -0.813,   none, 1D,  0.740,  1.496,  2.775,    10
 5.254, -0.839,   none, 1D,  0.816,  1.556,  2.775,    10
 5.351, -0.865,   none, 1D,  0.892,  1.615,  2.775,    10
 5.448, -0.886,   none, 1D,  0.968,  1.675,  2.775,    10
 5.508, -0.917,   none, 1D,  0.968,  1.735,  2.775,    10
 5.649, -0.952,   none, 1D,  1.077,  1.795,  2.707,    10
 5.709, -1.014,   none, 1D,  1.077,  1.855,  2.707,    10
 5.769, -1.079,   none, 1D,  1.077,  1.915,  2.707,    10
 5.910, -1.144,   none, 1D,  1.185,  1.974,  2.640,    10
 5.970, -1.234,   none, 1D,  1.185,  2.034,  2.640,    10
 6.067, -1.322,   none, 1D,  1.261,  2.094,  2.640,    10
 6.208, -1.418,   none, 1D,  1.370,  2.154,  2.572,    10
 6.268, -1.519,   none, 1D,  1.370,  2.214,  2.572,    10
 6.409, -1.620,   none, 1D,  1.478,  2.273,  2.504,    10
 6.550, -1.716,   none, 1D,  1.587,  2.333,  2.437,    10
 6.610, -1.800,   none, 1D,  1.587,  2.393,  2.437,    10
 6.669, -1.875,   none, 1D,  1.587,  2.453,  2.437,    10
 6.729, -1.938,   none, 1D,  1.587,  2.513,  2.437,    10
 6.789, -1.991,   none, 1D,  1.587,  2.573,  2.437,    10
 6.849, -2.034,   none, 1D,  1.587,  2.632,  2.437,    10
 6.909, -2.067,   none, 1D,  1.587,  2.692,  2.437,    10
 6.969, -2.090,   none, 1D,  1.587,  2.752,  2.437,    10
 7.028, -2.104,   none, 1D,  1.587,  2.812,  2.437,    10
 7.088, -2.109,    Li1, 1D,  1.587,  0.000,  2.437,     1
 7.164, -2.103,   none, 1D,  1.510,  0.000,  2.437,     1
 7.241, -2.087,   none, 1D,  1.434,  0.000,  2.437,     1
 7.317, -2.060,   none, 1D,  1.358,  0.000,  2.437,     1
 7.393, -2.022,   none, 1D,  1.282,  0.000,  2.437,     1
 7.469, -1.971,   none, 1D,  1.205,  0.000,  2.437,     1
 7.546, -1.908,   none, 1D,  1.129,  0.000,  2.437,     1
 7.626, -1.834,   none, 1D,  1.085,  0.000,  2.369,     1
 7.703, -1.756,   none, 1D,  1.009,  0.000,  2.369,     1
 7.779, -1.666,   none, 1D,  0.933,  0.000,  2.369,     1
 7.855, -1.564,   none, 1D,  0.856,  0.000,  2.369,     1
 7.936, -1.462,   none, 1D,  0.812,  0.000,  2.301,     1
 8.012, -1.363,   none, 1D,  0.736,  0.000,  2.301,     1
 8.088, -1.256,   none, 1D,  0.660,  0.000,  2.301,     1
 8.169, -1.146,   none, 1D,  0.616,  0.000,  2.234,     1
 8.245, -1.061,   none, 1D,  0.540,  0.000,  2.234,     1
 8.322, -0.975,   none, 1D,  0.463,  0.000,  2.234,     1
 8.398, -0.890,   none, 1D,  0.387,  0.000,  2.234,     1
 8.479, -0.826,   none, 1D,  0.343,  0.000,  2.166,     1
 8.555, -0.783,   none, 1D,  0.267,  0.000,  2.166,     1
 8.631, -0.747,   none, 1D,  0.191,  0.000,  2.166,     1
 8.707, -0.718,   none, 1D,  0.114,  0.000,  2.166,     1
 8.788, -0.706, saddle, 1D,  0.070,  0.000,  2.098,     1
 8.864, -0.719,   none, 1D, -0.006,  0.000,  2.098,     1
 8.940, -0.739,   none, 1D, -0.082,  0.000,  2.098,     1
 9.017, -0.762,   none, 1D, -0.158,  0.000,  2.098,     1
 9.093, -0.788,   none, 1D, -0.235,  0.000,  2.098,     1
 9.190, -0.813,   none, 1D, -0.311,  0.060,  2.098,     1
 9.287, -0.839,   none, 1D, -0.387,  0.120,  2.098,     1
 9.384, -0.865,   none, 1D, -0.463,  0.179,  2.098,     1
